TwCty11CD,Age65plus,Age75plus,Age85plus,MeanAge,MedianAge
E35001370,0.150473407,0.078318612,0.027292368,38.3,38
E35001376,0.145044163,0.06971336,0.020883635,36.8,34
E35001378,0.215024064,0.10171584,0.027568529,43.1,44
E35001379,0.168539109,0.071973207,0.017498649,40,40
E35001385,0.156765884,0.07361763,0.017864911,38.4,38
E35001387,0.173956823,0.082930562,0.023038505,40.5,41
E35001389,0.131874316,0.065742361,0.01840984,36.5,35
E35001391,0.169973176,0.083220461,0.02387592,39.9,39
E35001392,0.150539178,0.077117686,0.025227424,38.1,35
E35001395,0.174565373,0.081352703,0.023862824,40.2,40
E35001397,0.32379806,0.185536595,0.068021431,48.8,52
E35001398,0.153862849,0.072056583,0.020793082,38.4,37
E35001399,0.132666306,0.06583739,0.01874662,36.4,34
E35001401,0.147537991,0.068954502,0.018870077,39.2,39
E35001402,0.149605091,0.071212465,0.019429392,38.1,37
E35001405,0.122625465,0.064251327,0.02186287,35.9,32
E35001409,0.177162583,0.09387673,0.033951134,40.4,40
E35001411,0.157389461,0.068140521,0.01774682,40.4,42
E35001413,0.167349064,0.075355596,0.018957234,39.5,40
E35001415,0.165649972,0.073875484,0.019233011,39.6,40
E35001417,0.19223772,0.098631205,0.030841202,41.1,43
E35001421,0.154731428,0.071426924,0.01958071,39.6,41
E35001425,0.132985053,0.051487447,0.011406182,36.9,37
E35001427,0.147439815,0.059625848,0.01386301,39.9,41
E35001428,0.170960877,0.078179735,0.018890162,40.2,41
E35001432,0.171776582,0.091686481,0.027280691,40.6,41
E35001436,0.181628087,0.089262406,0.024892784,40.7,41
E35001437,0.129247263,0.061696658,0.016695809,37.4,37
E35001438,0.13545581,0.063866615,0.016554724,35.6,33
E35001441,0.113798017,0.05680838,0.018200683,34.7,30
E35001442,0.226369955,0.112999361,0.034256605,43.5,44
E35001444,0.145216093,0.067352577,0.01810041,38,37
E35001447,0.14905406,0.076254582,0.022679392,38.5,38
E35001451,0.144608626,0.071585463,0.022394169,37.5,34
E35001452,0.149101874,0.070901521,0.020578515,38.4,38
E35001454,0.099097886,0.046796224,0.013613991,34.8,34
E35001456,0.142610424,0.061365472,0.015481146,37.7,38
E35001458,0.218577985,0.112457736,0.03712657,42.1,43
E35001462,0.111022609,0.052662214,0.0149807,36.1,36
E35001470,0.145277556,0.070103772,0.016718363,38,36
E35001472,0.194774588,0.092386041,0.026939721,41.5,42
E35001474,0.159101672,0.073893462,0.020221459,39.7,40
E35001479,0.164283018,0.078960981,0.021837297,39.3,39
E35001481,0.149549331,0.072026191,0.019198901,37.7,35
E35001486,0.22529634,0.11264817,0.037149928,43,44
E35001490,0.211918086,0.108019187,0.031517127,42.6,44
E35001491,0.151127562,0.073754198,0.020261841,37.4,36
E35001492,0.193558934,0.093319165,0.027437197,42.3,44
E35001493,0.15277839,0.07389944,0.021680694,39.5,40
E35001494,0.171826124,0.079036781,0.023055765,40,40
E35001497,0.164377703,0.073839724,0.018544977,39.8,40
E35001498,0.166991019,0.08000822,0.020706161,39.5,39
E35001499,0.162084865,0.085098932,0.027315707,39.6,39
E35001501,0.12006127,0.056811687,0.016108457,36.2,34
E35001502,0.150615121,0.069793367,0.018115221,38.7,39
E35001507,0.157493731,0.079566643,0.027229473,39.3,39
E35001516,0.087569141,0.036914119,0.010957787,34.5,34
E35001517,0.140968518,0.060791758,0.017505096,38.5,38
