LSOA21CD,Higher_manager_administrative_professional,Lower_supervisory&technical_occupations,Semi-routine_occupations,Routine_occupations,NeverWorked&Long-term_unemployed,Full-time_students,Lower_manager_administrative_professional,Intermediate_occupations,Small_employers&ownaccount_workers
E01005715,21.7635,3.289,9.0973,4.8286,6.0882,4.1987,25.6123,15.6753,9.4472
E01005716,21.7742,4.2522,6.8182,4.5455,6.1584,4.912,26.6862,14.4428,10.4106
E01005717,27.6059,2.1987,6.1889,4.1531,3.6645,8.7948,26.9544,12.0521,8.3876
E01005718,12.3066,7.2955,11.1275,12.9698,7.885,4.4952,20.1916,14.8858,8.843
E01005719,10.4059,4.5169,10.2344,14.2939,12.2927,7.2041,20.6404,13.4934,6.9182
E01005721,7.1006,5.8432,14.8669,17.0858,11.9822,8.8018,15.3107,12.6479,6.3609
E01005722,7.9128,3.8629,11.2773,16.0748,13.271,9.2835,18.6293,11.9003,7.7882
E01005723,5.1499,4.7656,11.7602,19.9078,15.5265,9.6849,13.9124,11.837,7.4558
E01005724,13.252,4.7967,9.7561,9.2683,6.9919,6.5854,25.935,14.3902,9.0244
E01005725,3.9852,4.8193,15.1066,21.4087,18.165,7.3216,10.0093,12.0482,7.1362
E01005726,10.9767,5.9637,13.8289,14.261,10.1124,4.5808,18.1504,13.8289,8.2973
E01005727,12.7208,5.3004,10.9541,12.3675,8.0389,6.2721,21.3781,15.1943,7.7739
E01005728,12.5864,6.4315,10.9267,11.964,6.1549,5.3942,23.7898,15.2835,7.4689
E01005729,7.9631,4.5264,15.1718,24.057,17.1836,6.5381,9.3881,9.2205,5.9514
E01005730,11.3037,6.7822,12.2833,14.6194,6.7069,5.3504,18.3873,15.2223,9.3444
E01005731,5.4468,5.7872,14.7234,20.0851,15.4043,9.7021,11.1489,10.7234,6.9787
E01005732,5.9898,4.7716,16.5482,20.1015,13.6041,5.0761,14.1117,11.9797,7.8173
E01005733,7.3084,5.9715,10.9626,17.2014,17.3797,7.9323,15.7754,9.8039,7.6649
E01005734,12.1289,6.1917,12.553,9.4996,9.9237,4.7498,21.7981,14.0797,9.0755
E01005735,15.2557,5.3646,8.5499,7.7117,6.7896,6.3705,24.3923,15.9262,9.6396
E01005736,15.3169,5.9859,9.419,9.1549,6.25,3.6972,26.4085,14.1725,9.5951
E01005737,25.28,2.72,5.84,3.52,5.2,5.44,26.56,13.04,12.4
E01005738,25.4613,3.6285,6.7036,5.4736,7.1956,4.1205,26.9373,11.4391,9.0406
E01005739,25.7489,2.9318,7.5207,6.9471,4.334,5.9911,25.3665,12.8744,8.2855
E01005740,22.3095,3.1422,6.2844,6.3629,5.7345,4.8704,27.4156,12.7258,11.1548
E01005741,25.0931,4.0953,5.8079,4.2442,3.9464,5.4356,28.1459,12.0625,11.169
E01005742,18.4358,4.6289,9.4972,9.178,4.3097,5.1875,25.4589,14.0463,9.2578
E01005743,12.1156,8.3877,11.37,12.3952,5.4986,2.6095,20.3169,15.7502,11.5564
E01005744,7.0796,6.5969,13.3548,11.8262,15.6879,4.5052,16.4119,15.7683,8.7691
E01005745,13.9776,5.522,13.3736,10.3538,4.7455,4.1415,22.088,13.9776,11.8205
E01005746,6.6347,6.235,15.9872,18.2254,14.7882,2.3981,17.1863,10.9512,7.5939
E01005747,14.1258,5.857,9.733,9.0439,4.565,5.3402,26.9595,14.3842,9.9914
E01005748,16.8591,5.4657,8.3911,8.0062,4.388,3.9261,25.0192,16.4742,11.4704
E01005749,13.1868,6.8132,10.5495,10.4029,5.348,4.3956,22.8571,16.337,10.1099
E01005750,9.9702,6.0268,10.7143,11.5327,5.2083,4.0923,23.8095,16.8899,11.756
E01005751,10.1828,8.6162,12.4456,13.0548,7.5718,4.9608,17.5805,15.8399,9.7476
E01005752,10.0088,5.619,12.9939,14.8376,10.2722,6.2335,17.1203,13.2572,9.6576
