MSOA21CD,JobAccess
E02000421,1515436.363
E02000422,1294948.495
E02000423,1325668.17
E02000424,1314658.068
E02000425,1351486.836
E02000426,1380914.942
E02000427,1376391.909
E02000428,1389624.215
E02000429,1336948.636
E02000430,1373000.19
E02000431,1420375.655
E02000432,1453522.653
E02000433,1331482.905
E02000434,1216606.563
E02000435,1090728.996
E02000436,980836.004
E02000437,971689.8096
E02000438,1076808.169
E02000439,1145139.549
E02000440,944015.4398
E02000441,981184.1966
E02000442,1137084.452
E02000443,1092558.926
E02000444,997075.7836
E02000445,1107932.467
E02000447,916236.701
E02000448,773678.5335
E02000449,1103576.843
E02000451,870519.1314
E02000452,1108307.804
E02000453,975674.3838
E02000454,733047.1267
E02000455,1172635.323
E02000456,1022180.134
E02000457,937476.3818
E02000459,1029262.587
E02000460,902146.4128
E02000461,1139940.307
E02000462,984993.0521
E02000463,826464.5631
E02000464,659669.0729
E02000465,932235.0865
E02000466,673297.1788
E02000467,707022.2028
E02000468,712541.9546
E02000469,697819.9466
E02000470,909861.1492
E02000471,692947.7082
E02000472,703249.3385
E02000473,860329.2537
E02000474,667266.1734
E02000475,762862.5581
E02000476,749237.902
E02000477,606657.9979
E02000478,632818.5612
E02000479,634611.8642
E02000480,679596.4492
E02000481,1029952.878
E02000482,984833.2892
E02000483,607767.1605
E02000484,635591.3388
E02000485,825298.1499
E02000486,721674.3239
E02000487,908543.1005
E02000488,593111.5267
E02000489,687646.6046
E02000490,735715.0772
E02000491,937712.6262
E02000492,1001900.561
E02000493,920368.8587
E02000494,1044063.607
E02000495,1007336.235
E02000496,1582729.359
E02000497,784050.9018
E02000498,1211715.405
E02000499,815670.3649
E02000500,1102674.813
E02000501,840289.5592
E02000502,1063905.464
E02000503,996391.7204
E02000504,1218218.798
E02000506,1385435.05
E02000507,1215148.814
E02000508,1190731.627
E02000509,1274153.573
E02000510,1137843.64
E02000511,1011906.278
E02000512,1062543.126
E02000513,1189426.279
E02000514,1123867.468
E02000515,1444254.407
E02000516,1274601.094
E02000517,1154425.012
E02000518,1335434.64
E02000519,1160632.206
E02000520,1230501.217
E02000521,1429923.729
E02000522,1314518.682
E02000523,1534739.755
E02000524,1536489.15
E02000525,1269392.7
E02000526,1509558.355
E02000529,1250561.763
E02000530,1415993.329
E02000531,1442242.451
E02000532,1462520.477
E02000533,1450819.106
E02000534,1097133.865
E02000535,1334970.412
E02000536,1233354.008
E02000537,1104380.143
E02000538,1321386.647
E02000539,1054961.783
E02000540,1084798.47
E02000541,1034605.162
E02000542,1111609.811
E02000543,1123078.549
E02000544,895326.7931
