BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63001293,22.5,10.3,2.3
E63001294,20.6,9,1.8
E63001295,8.9,3.9,1.1
E63001297,18.6,8.1,2.1
E63001298,19,8.5,2.5
E63001299,17.9,8.1,2.4
E63001301,23.1,10.4,2.9
E63001305,10.3,4.8,1.7
E63001306,25.3,11.5,2.7
E63001307,17.9,8.2,2
E63001310,16.3,7,1.9
E63001313,20.3,8.7,2.3
E63001314,25.3,13.7,4.3
E63001318,15.1,7,1.9
E63001320,16.6,7.3,1.8
E63001321,21.1,10.1,2.8
E63001323,20,9.4,2.3
E63001324,19.8,9.1,2.2
E63001325,18.9,8.2,2.1
E63001326,13.4,5.8,1.7
E63001328,11.8,4.7,1
E63001334,16.9,8.4,2.2
E63001336,28.1,14.4,3.8
E63001337,20.7,8.8,2.1
E63001339,15.8,7,1.8
E63001350,16.8,7.8,2.2
E63001357,23.7,11.2,2.9
E63001358,19.5,8.8,2.3
E63001360,21.5,9.9,2.8
E63001361,18,8.7,2.2
E63001362,20.2,8.9,2.5
E63001363,18.5,8.8,2.6
E63001364,15.4,6.8,1.9
E63001365,20.7,10.1,2.7
E63001367,17.3,8.2,2.4
E63001370,27.9,14.7,4.3
E63001374,15.5,6.6,1.8
E63001378,15.8,6.9,2
E63001383,27.5,12.1,3.7
E63001384,18.5,8.3,2.1
E63001385,21.1,10.2,2.5
E63001391,16.2,7.1,1.8
E63001393,27.6,13.7,4
E63001394,15.2,6.5,1.9
E63001395,17.7,8.8,2.7
E63001397,26.9,15.2,6.3
E63001400,18.2,8.2,2
E63001402,22,11.3,3.7
E63001403,18.5,8.1,2.3
E63001404,20.2,9.8,3
E63001406,7,2.4,0.1
E63001411,24.5,12,3.3
E63001415,29.4,13.4,4.1
E63001418,22,11.2,3
E63001421,25.4,13.1,4.1
E63001422,28,13.6,4.3
E63001423,24,12.3,3.6
E63001424,16.1,7.6,2.2
E63001425,18.3,7.9,2
E63001426,17.5,8,2
E63001429,21.8,10.8,3.3
E63001432,20.2,8.6,1.9
E63001434,21.2,9.5,2.3
E63001435,27,14.5,4.5
E63001437,38.1,17,3.8
E63001438,24.3,10.9,2.3
E63001439,27.8,12.2,3
E63001440,20.3,10.2,3.1
E63001460,30.4,15.1,4.2
E63001464,22.8,10.7,2.9
E63001466,19,8.6,1.9
E63001468,30.7,15.4,4.8
E63001481,18.3,6.7,1.6
E63001487,22.4,10.7,3.2
E63001489,20.3,9.4,2.8
E63001496,21.9,8.9,2.1
E63001497,23.6,10.9,2.7
E63001498,49.6,23.6,5.7
E63001506,19.6,9.1,2.4
E63001513,22.5,10.4,2.9
E63001517,29.2,15.1,3.9
E63001518,24.6,13.2,3.9
E63001524,29.3,13.9,3.6
E63001535,26.6,13.2,3.7
E63001536,23.6,10.9,2.9
E63001554,18.1,8.2,2.3
E63001559,22.5,9.7,2.7
E63001568,21.7,8.8,2.1
E63001574,24.4,13.1,3.9
E63001583,18.8,9.1,2.2
E63001588,19.4,8.5,2.1
E63001589,23.8,11.1,2.7
E63001591,20.3,9.4,2.6
E63001592,14.8,6.2,1.8
E63001596,22.3,10.8,3
E63001599,22.5,10.8,3
E63001607,23.3,10.9,2.8
E63001616,22.1,10.2,2.8
E63001618,26.2,12.5,3.7
E63001622,20.1,8.9,2.3
E63001629,21.7,9.8,2.5
E63001641,28.7,14.3,3.8
E63001642,27,13.9,3.8
E63001650,14.4,6.6,2
E63001662,19.2,8.3,2.1
E63001663,20.6,9.1,2.1
E63001665,19.2,9.9,3.1
E63001666,16.1,7.8,1.9
E63001667,30.3,14.4,3.3
E63001669,27.4,14,3.9
E63001677,22.3,11.5,3
E63001681,26.8,13.1,3.7
E63001685,16.7,7.5,1.7
E63001686,20.3,9.2,2.2
E63001688,19.6,8.6,2.2
E63001702,18.9,9.3,2.3
E63001708,20.6,9.3,2.1
E63001711,20.9,10,2.7
E63001715,23,10.7,3
E63001717,26.1,11.7,2.9
E63001723,17.7,8,2.1
E63001735,16.4,7.7,2.3
E63001738,25.3,12.5,3.2
E63001739,26.2,12.2,3.6
E63001740,18.5,8.5,2.5
E63001754,20,9.7,2.6
E63001757,16.9,6.9,1.1
E63001760,19.2,8.8,2.3
E63001779,16.9,8.2,2.3
E63001780,25.4,12,3
E63001792,23.6,11.1,3.6
E63001795,17.8,7.8,2
E63001796,25.1,11.9,3.3
E63001797,18.9,8.5,2.1
E63001801,19.7,8.9,2.6
E63001803,26.8,14,4
E63001804,16.2,7.4,2
E63001808,30.8,15.3,4
E63001813,22.8,10.2,2.4
E63001825,18.2,7.9,2.2
E63001828,25.3,11.8,2.6
E63001829,30,15.5,4.6
E63001830,21.5,9.2,2.1
E63001832,24.6,11.3,2.9
E63001845,24.5,12.7,4.3
E63001853,21.4,10.6,2.9
E63001862,28.8,14.8,3.6
E63001880,23.2,10.6,2.8
E63001882,23.5,10.6,2.6
E63001889,18.2,8.8,2.2
E63001899,22.3,9.9,2.6
E63001901,29.5,14.4,3.8
E63001908,20.5,10,3
E63001910,24.7,11.8,2.9
E63001911,18.9,8.2,1.9
E63001915,23.2,11.4,3.7
E63001918,20.3,9.6,2.6
E63001927,21.3,10,2.8
E63001951,23.5,10.9,3
E63001952,17.5,8.5,2.6
E63001958,17.1,7.7,2
E63001966,25.5,11.7,2.5
E63001974,40.2,21.2,6.5
E63001982,19.9,9.2,2.7
E63001986,23.9,11.6,3.7
E63001987,28.4,13.3,4
E63001992,11.4,5.1,1.4
E63001993,36.7,18.1,5.8
E63001995,28,13.6,3.4
E63001997,18.2,8.3,2.2
E63002010,21.4,10.6,2.8
E63002020,31.5,16.9,6
E63002027,19.2,9.2,3
E63002042,18.8,8.8,2.2
E63002051,17.4,8.2,2.9
E63002057,20.9,10.3,3.2
E63002062,21.5,10.7,3.3
E63002069,19,8.6,2.4
E63002077,18.2,8.5,2.2
E63002078,16,7.5,2.2
E63002082,24.4,12.4,3.7
E63002087,24.6,12.5,3
E63002092,16.6,8,3.4
E63002098,27.3,12.9,3.3
E63002100,19,9,2.7
E63002109,23,11,3.1
E63002111,20.5,10,3.2
E63002115,18.9,8.7,2.2
E63002136,31.4,17.2,5
E63002146,11,4.3,0.9
E63002149,29.4,15.3,4.9
E63002152,29.5,15,5
E63002164,22.7,11.5,3.4
E63002167,26.7,13.5,4
E63002183,20.6,9.3,2
E63002198,30.8,15.1,4.7
E63002206,20.5,10,2.6
E63002222,25.9,13.4,4.2
E63002255,34.2,18.7,5.2
E63002256,15.3,6.8,1.9
E63002259,19.4,9.5,2.6
E63002275,19.5,9.8,2.9
E63002284,18,8.7,2.6
E63002295,21.9,11,3.4
E63002300,18.6,7.8,1.8
E63002304,21.9,10.3,2.8
E63002315,12.4,4.8,1
E63002317,14.5,6.6,1.9
E63002320,23.6,11.2,2.9
E63002323,21.9,10,2.7
E63002336,20.2,9.5,2.5
E63002351,36.7,16.5,4.1
E63002357,21.8,9.5,2.2
E63002366,21.1,9.5,2.7
