OA21CD,MortgageDebt
E00000525,47532.11
E00000526,45422.45
E00000527,51615.46
E00000528,52153.53
E00000529,50000.63
E00000530,61155.51
E00000531,49245.36
E00000532,49213.22
E00000533,46821.15
E00000534,47890.22
E00000535,46105.14
E00000536,80358.16
E00000537,47734.12
E00000538,52116.58
E00000539,53426.52
E00000540,54239.97
E00000541,52531.92
E00000542,60548.9
E00000543,52391.63
E00000544,40672.63
E00000545,67295.32
E00000547,62410.99
E00000548,61034.27
E00000549,66328.92
E00000550,65771.58
E00000551,65878.26
E00000552,65406.71
E00000553,64924.18
E00000554,64025.06
E00000555,61034.27
E00000556,54991.5
E00000557,65470.35
E00000558,68180.07
E00000559,63349.5
E00000560,67559.15
E00000561,68666.68
E00000562,66458.14
E00000563,58519.55
E00000564,68157.02
E00000565,71146.36
E00000566,70665.32
E00000567,64397.81
E00000568,68134.42
E00000569,69849.29
E00000570,70716.12
E00000571,69060.47
E00000572,69544.2
E00000573,74110.34
E00000574,69471.2
E00000575,69167.7
E00000576,102841.6
E00000577,69816.15
E00000578,93565.88
E00000579,62154.52
E00000580,95831.58
E00000581,128454.54
E00000583,100337.54
E00000584,96721.92
E00000585,98536.66
E00000586,94765.45
E00000587,92325.25
E00000588,92168.43
E00000589,105568.81
E00000590,77499
E00000591,92882.92
E00000592,70644.27
E00000593,102813.78
E00000594,113779.68
E00000595,70967.22
E00000596,105126.97
E00000597,68141.49
E00000598,103609.08
E00000599,62217.22
E00000600,67091.54
E00000601,103223.84
E00000602,70658.55
E00000603,67564.02
E00000604,56105.79
E00000605,63089.58
E00000606,65660.81
E00000607,40928.2
E00000608,67023.51
E00000609,57815.98
E00000610,93196.44
E00000611,97104.87
E00000612,90320.4
E00000613,92173.89
E00000614,96260.48
E00000615,96318.98
E00000616,97958.66
E00000617,93961.42
E00000618,91092.37
E00000619,95903.5
E00000620,92431.96
E00000622,72810.05
E00000624,77401.67
E00000625,47514.19
E00000626,64832.96
E00000627,55266.39
E00000628,46062.08
E00000629,72031.85
E00000630,75341.6
E00000631,51063.87
E00000632,56530.52
E00000633,58082.91
E00000634,57907.1
E00000635,49500.88
E00000636,62699.87
E00000637,46759.99
E00000638,49948.17
E00000640,48280.64
E00000641,46367.05
E00000642,48866.3
E00000643,52432.61
E00000644,64753.23
E00000645,47188.98
E00000646,46370.33
E00000647,43775.31
E00000648,45590.99
E00000649,68629.21
E00000650,46413.62
E00000651,38636.72
E00000652,80627.32
E00000653,44726.95
E00000654,45987.1
E00000655,58484.24
E00000656,62721.16
E00000657,67757.75
E00000658,36396.97
E00000659,50266.99
E00000660,43048.88
E00000661,62669.33
E00000662,50972.61
E00000663,50099.99
E00000664,34150.56
E00000666,67542.21
E00000667,45765.1
E00000668,78416.13
E00000669,84505.01
E00000670,67031.32
E00000671,87363.75
E00000672,92333.66
E00000674,106036.18
E00000675,115345.91
E00000676,66367.24
E00000677,70465.46
E00000678,97913.54
E00000679,61847.29
E00000681,105487.16
E00000682,93433.52
E00000683,101598.8
E00000684,93988.11
E00000685,60123.72
E00000686,73977.11
E00000687,117382.53
E00000688,88586.6
E00000689,67827.63
E00000690,100581.57
E00000691,101042.22
E00000692,94214.41
E00000693,81280.78
E00000694,66693.89
E00000695,88965.83
E00000697,113494.84
E00000698,72455.29
E00000699,97616.62
E00000700,128922.85
E00000701,116152.13
E00000702,84665.51
E00000703,172571.65
E00000704,105374.8
E00000705,114243.51
E00000706,103524.89
E00000707,131510.33
E00000708,112321.54
E00000709,115583.15
E00000710,65368.58
E00000711,83933.55
E00000712,51575.93
E00000713,89053.83
E00000714,91944.6
E00000715,63627.16
E00000716,71307.14
E00000717,93420.65
E00000718,95795.75
E00000719,103139.41
E00000720,89135.15
E00000721,82948.64
E00000722,103998.49
E00000723,123457.18
E00000724,79122.51
E00000725,58127.27
E00000726,58663.01
E00000727,55442.81
E00000728,53770.48
E00000730,56252.2
E00000732,54721.53
E00000737,70054.47
E00000738,88665.16
E00000739,70269.23
E00000740,74286.84
E00000742,65892.49
E00000743,91128.73
E00000745,56458.99
E00000746,118960.42
E00000747,59067.15
E00000748,60247.17
E00000749,79979.85
E00000750,72350.19
E00000751,50623.47
E00000752,73106.58
E00000754,37998.01
E00000755,75483.22
E00000756,69790.11
E00000757,79015.53
E00000758,79361.45
E00000761,79841
E00000763,72414.79
E00000767,51430.58
E00000768,51925.11
E00000769,56014.19
E00000770,64221.53
E00000771,32533.27
E00000772,83321.89
E00000773,110583.27
E00000774,104605.8
E00000775,103811.98
E00000776,83250.13
E00000777,82908.94
E00000778,82784.39
E00000779,73847.06
E00000780,77943.18
E00000781,75514.48
E00000782,69842.02
E00000783,67601.61
E00000785,64343.8
E00000786,78369.95
E00000787,77700.12
E00000788,78671.37
E00000789,109798.99
E00000790,78868.54
E00000791,81117.27
E00000792,99225.76
E00000793,117217.84
E00000794,90181.76
E00000795,99204.02
E00000796,97158.57
E00000797,114827.95
E00000798,116203.93
E00000799,108564.59
E00000800,107644.5
E00000801,111243.72
E00000802,101916.97
E00000803,116368.16
E00000804,102772.17
E00000805,102463.8
E00000806,79011.94
E00000807,75625.35
E00000808,94308.77
E00000809,75730.76
