BUA22CD,BUSA22NM,ResPop65plus,ResPop75plus,ResPop85plus
E63001173,Whitefield,18.5,8.7,2.4
E63001177,Wigan,18.5,8.2,1.9
E63001178,Thurnscoe,17.8,8.1,2.3
E63001179,Westhoughton,19.9,8,1.9
E63001180,Humberston and New Waltham,28.5,14.9,3.9
E63001181,Dodworth,23.4,10.5,2.9
E63001182,Uppermill,26.7,12.2,2.9
E63001184,Scawthorpe and Cusworth,20,9.7,2.8
E63001187,Kearsley,17.2,7.3,1.6
E63001190,Bentley (Doncaster),14.6,6.4,1.6
E63001191,Armthorpe,21.2,9.5,2.6
E63001192,Oldham,10.3,4.2,1.1
E63001194,Lees,21.8,10,2.5
E63001195,Ince-in-Makerfield,14.1,5.8,1.4
E63001197,Darfield,23.4,10.1,2.5
E63001198,Hindley,20.9,9.6,2
E63001199,Orrell,22.3,10.8,2.7
E63001203,Chadderton,16.6,7.2,1.9
E63001204,Worsbrough,20.8,10.1,3.2
E63001205,Goldthorpe,14.8,6.7,1.5
E63001207,Little Hulton,13.5,5.7,1.5
E63001209,Lydiate,26.9,13.8,4
E63001210,Prestwich,15,6.7,2
E63001213,Atherton,19.8,9.3,2.2
E63001214,Waltham,31.6,15.7,4.8
E63001218,Penistone,20.7,8.4,2.3
E63001219,Wombwell,16.2,7,1.8
E63001221,Bolton upon Dearne,16.8,6.4,1.5
E63001222,Walkden,18,8.2,2.1
E63001224,Platt Bridge and Abram,16.9,6.7,1.4
E63001226,Mossley,16.8,6.4,1.5
E63001227,Clifton (Salford),17,7.6,2
E63001228,Sprotbrough,24,12.2,3.4
E63001229,Doncaster,16.8,7.4,2.2
E63001232,Maghull,26.6,13.5,4.3
E63001237,Tyldesley,17.8,6.7,1.4
E63001241,Swinton (Salford),17.4,8.1,2.2
E63001250,Rainford,33,17.2,4.9
E63001254,Failsworth,19.5,10,2.3
E63001256,Worsley,22.7,10.7,3
E63001258,Wath upon Dearne,17.9,8.2,2.4
E63001259,Hoyland,21.7,10,2.7
E63001260,Leigh (Wigan),18.1,8.3,1.8
E63001263,Mexborough,17.8,8,2
E63001268,Ashton-under-Lyne,15.9,6.8,1.6
E63001269,Ashton-in-Makerfield,24.1,11,2.4
E63001273,Crosby (Sefton),21.9,10,2.8
E63001274,Salford,9.3,4,1.1
E63001278,Stalybridge,17.8,7.4,1.9
E63001279,Finningley,13.2,5.1,1.2
E63001280,Swinton (Rotherham),21.5,9.5,2.4
E63001281,Eccles (Salford),13.8,6.4,1.8
E63001282,Aintree,26.8,13.8,4.9
E63001283,Conisbrough,19.6,8.6,2.5
E63001284,Kirkby,15.2,5.2,1.5
E63001285,Droylsden,17,7.5,1.8
E63001286,Warmsworth,18.3,8.5,2.4
E63001290,Stocksbridge,25.2,12.7,3.4
E63001291,Litherland,17.6,7.5,1.8
E63001293,Deepcar,22.5,10.3,2.3
E63001294,Golborne,20.6,9,1.8
E63001295,Manchester,8.9,3.9,1.1
E63001297,Dukinfield,18.6,8.1,2.1
E63001298,New Rossington and Rossington,19,8.5,2.5
E63001299,Audenshaw,17.9,8.1,2.4
E63001301,Haydock,23.1,10.4,2.9
E63001305,Old Trafford,10.3,4.8,1.7
E63001306,Chapeltown and High Green,25.3,11.5,2.7
E63001307,Rawmarsh,17.9,8.2,2
E63001310,Bootle (Sefton),16.3,7,1.9
E63001313,Hadfield,20.3,8.7,2.3
E63001314,Culcheth,25.3,13.7,4.3
E63001318,Newton-le-Willows,15.1,7,1.9
E63001320,Hyde (Tameside),16.6,7.3,1.8
E63001321,Urmston,21.1,10.1,2.8
E63001323,Denton (Tameside),20,9.4,2.3
E63001324,Thrybergh and Dalton,19.8,9.1,2.2
E63001325,St Helens (St. Helens),18.9,8.2,2.1
E63001326,Stretford,13.4,5.8,1.7
E63001328,Hattersley,11.8,4.7,1
E63001334,Irlam,16.9,8.4,2.2
E63001336,Ecclesfield and Grenoside,28.1,14.4,3.8
E63001337,Glossop,20.7,8.8,2.1
E63001339,Reddish,15.8,7,1.8
E63001350,Rotherham,16.8,7.8,2.2
E63001357,Wickersley and Bramley,23.7,11.2,2.9
E63001358,Maltby,19.5,8.8,2.3
E63001360,Bredbury and Woodley,21.5,9.9,2.8
E63001361,Harworth and Bircotes,18,8.7,2.2
E63001362,Wallasey,20.2,8.9,2.5
E63001363,Sale,18.5,8.8,2.6
E63001364,Partington,15.4,6.8,1.9
E63001365,Prescot,20.7,10.1,2.7
E63001367,Huyton with Roby,17.3,8.2,2.4
E63001370,Romiley,27.9,14.7,4.3
E63001374,Liverpool,15.5,6.6,1.8
E63001378,Stockport,15.8,6.9,2
E63001383,Meols,27.5,12.1,3.7
E63001384,Gainsborough,18.5,8.3,2.1
E63001385,Brinsworth,21.1,10.2,2.5
E63001391,Thurcroft,16.2,7.1,1.8
E63001393,Marple,27.6,13.7,4
E63001394,Wythenshawe,15.2,6.5,1.9
E63001395,Altrincham,17.7,8.8,2.7
E63001397,Hoylake,26.9,15.2,6.3
E63001400,Warrington,18.2,8.2,2
E63001402,Gatley,22,11.3,3.7
E63001403,Birkenhead,18.5,8.1,2.3
E63001404,Cheadle (Stockport),20.2,9.8,3
E63001406,Waverley and Catcliffe,7,2.4,0.1
E63001411,Louth,24.5,12,3.3
E63001415,Greasby,29.4,13.4,4.1
