LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01012526,47.084,0.299,0.221,62.796,1.083,0.634,17.509,16.096,0.383,0.252,1.267,0.519,-0.689,1.53,-0.133,0.203
E01012527,14.202,0.072,0.076,14.516,0.334,-0.883,18.824,23.229,0.068,0.114,0.147,0.25,0.459,-1.536,0.506,-0.228
E01012528,11.456,0.058,0.087,6.435,0.232,-0.69,16.953,10.653,0.052,0.058,-0.709,0.239,0.542,-4.154,-0.187,-0.455
E01012529,9.005,0.051,0.057,11.067,0.129,-0.993,15.606,11.847,0.079,0.056,-0.259,0.266,0.279,-1.702,-0.075,-0.51
E01012530,9.057,0.044,0.053,6.127,-0.098,-0.863,28.023,10.787,0.025,0.08,-0.583,0.22,1.141,-3.298,-0.092,-0.717
E01012531,8.446,0.057,0.063,11.499,-0.205,-1.693,11.667,14.025,0.08,0.061,-0.185,0.262,0.111,-2.512,0.071,-0.489
E01012532,8.945,0.049,0.06,9.12,0.31,-0.928,3.937,13.987,0.026,0.079,-0.335,0.244,-0.568,-3.395,-0.044,-0.211
E01012533,58.314,0.378,0.256,66.129,1.54,0.925,19.987,4.754,0.501,0.289,1.381,0.521,-0.281,1.435,-1.385,-0.249
E01012534,41.927,0.229,0.186,50.997,1.133,1.088,26.582,10.937,0.283,0.234,1.03,0.477,0.38,1,-0.494,0.043
E01012535,37.044,0.213,0.166,48.716,0.934,0.804,16.27,26.401,0.257,0.236,0.884,0.482,-0.436,0.881,0.407,0.397
E01012536,39.525,0.212,0.182,47.194,1.155,1.195,14.991,16.265,0.237,0.185,0.795,0.484,-0.263,0.222,0.092,-0.167
E01012537,44.872,0.241,0.228,53.157,1.238,0.771,21.295,17.563,0.189,0.277,0.8,0.522,0.027,0.968,-0.093,0.308
E01012538,9.063,0.037,0.052,12.602,-0.171,-0.159,22.345,9.336,0.032,0.055,-0.061,0.259,0.799,-2.948,-0.817,0.106
E01012539,32.997,0.179,0.156,32.419,0.732,0.755,31.025,16.367,0.16,0.241,0.297,0.428,0.739,0.615,-0.164,0.279
E01012540,13.018,0.063,0.069,9.451,0.274,0.632,13.277,8.039,0.046,0.1,-0.175,0.224,0.258,-2.863,-0.736,-0.107
E01012541,19.235,0.085,0.09,20.618,0.477,-0.152,30.141,15.602,0.102,0.119,0.539,0.26,1.048,-1.192,-1.144,0.909
E01012542,19.049,0.132,0.089,18.17,0.625,0.083,18.843,5.719,0.21,0.154,0.27,0.281,0.322,-0.758,-1.31,-0.127
E01012543,9.348,0.05,0.042,11.837,0.134,-0.789,21.111,15.536,0.088,0.069,-0.129,0.258,0.629,-1.807,-0.003,-0.071
E01012544,20.286,0.119,0.104,30.531,0.598,-0.451,13.99,13.005,0.233,0.081,0.731,0.343,0.042,-1.029,-0.635,0.396
E01012545,41.967,0.262,0.198,52.974,1.027,0.933,17.195,10.208,0.26,0.366,1.119,0.477,-0.662,1.436,-1.152,0.353
E01012546,48.014,0.294,0.237,58.919,1.291,0.791,16.078,7.198,0.28,0.371,1.485,0.452,-0.871,1.395,-1.087,-0.011
E01012547,10.985,0.063,0.066,12.655,-0.012,-0.45,8.661,23.047,0.072,0.084,-0.349,0.298,-0.183,-2.136,0.414,0.001
E01012548,9.28,0.057,0.063,8.833,0.126,-0.389,10.131,9.918,0.056,0.086,-0.72,0.278,-0.007,-2.504,-0.341,-0.288
E01012549,7.322,0.046,0.05,11.997,-0.153,-0.428,5.981,10.93,0.05,0.055,-0.139,0.263,-0.386,-2.701,-0.234,-0.308
E01012550,9.652,0.057,0.053,14.099,-0.048,-0.496,10.915,20.136,0.057,0.09,-0.126,0.291,0.014,-2.179,0.46,-0.638
E01012551,8.751,0.044,0.043,8.393,-0.399,-0.533,24.056,22.781,0.06,0.055,-0.486,0.25,0.941,-4.219,-0.173,0.954
E01012552,16.433,0.107,0.092,24.644,0.271,-0.648,7.428,15.658,0.123,0.139,0.312,0.351,-0.677,-1.065,-0.04,0.008
E01012553,5.237,0.031,0.041,4.516,-0.597,-0.5,22.33,3.451,0.027,0.05,-0.777,0.207,0.86,-4.945,-1.609,-0.405
E01012554,13.117,0.077,0.082,9.147,0.006,0.049,15.801,16.22,0.06,0.097,-0.335,0.244,0.386,-2.503,0.032,-0.051
E01012555,7.334,0.045,0.047,9.658,0.032,-0.844,2.178,16.837,0.042,0.069,-0.741,0.291,-0.894,-3.593,0.239,-0.479
E01012556,8.425,0.043,0.054,10.537,0.103,-0.669,3.525,19.041,0.013,0.066,-0.9,0.31,-0.995,-2.168,0.235,-0.109
E01012557,10.511,0.06,0.048,4.026,-0.069,-0.153,1.839,38.47,0.072,0.09,-0.686,0.181,-1.355,-2.826,1.047,-0.001
E01012558,4.152,0.031,0.029,1.463,-0.836,-0.348,3.369,22.676,0.029,0.063,-1.018,0.101,-0.848,-2.598,0.445,-0.122
E01012559,4.65,0.034,0.036,1.261,-0.401,-0.533,15.399,11.663,0.021,0.062,-1.39,0.152,0.471,-5.255,-0.324,-0.06
E01012560,13.946,0.093,0.089,5.145,0.171,-0.074,15.847,15.555,0.086,0.108,-0.576,0.196,0.167,-0.996,0.02,-0.113
E01012561,12.212,0.086,0.066,7.687,0.561,-0.781,12.145,11.851,0.049,0.223,-0.52,0.242,-0.085,-1.141,-0.189,-0.246
E01012562,7.371,0.045,0.046,5.428,-0.517,-0.836,29.057,4.502,0.069,0.039,-0.608,0.208,1.126,-2.247,-1.543,-0.247
E01012563,6.285,0.043,0.051,4.101,-0.404,0.008,15.163,1.838,0.038,0.055,-0.623,0.172,0.445,-4.417,-2.196,-0.686
E01012564,15.985,0.072,0.087,7.489,0.947,0.396,9.992,6.126,0.036,0.119,-0.658,0.252,0.098,-4.251,-1.687,0
E01012565,10.939,0.08,0.062,4.649,0.255,0.073,15.821,2.341,0.098,0.152,-0.686,0.199,0.39,-2.526,-1.522,-0.689
E01012566,6.45,0.039,0.047,3.759,-0.274,-0.279,20.731,3.417,0.027,0.109,-0.704,0.175,0.646,-2.139,-1.179,-0.589
E01012567,4.463,0.023,0.026,1.756,-0.607,-1.625,28.814,1.357,0.021,0.062,-1.266,0.166,1.203,-3.641,-1.524,-1.023
E01012568,5.26,0.04,0.035,3,-0.939,-0.149,23.847,1.409,0.052,0.116,-0.792,0.161,0.796,-1.936,-1.795,-0.878
E01012569,8.355,0.052,0.051,2.94,-0.62,0.092,27.658,2.284,0.062,0.046,-0.948,0.181,1.045,-2.266,-1.88,-0.603
E01012570,33.898,0.206,0.224,21.816,0.901,0.154,22.499,4.726,0.151,0.217,0.168,0.342,0.334,0.197,-2.096,-0.146
E01012571,46.933,0.311,0.195,54.152,1.153,0.466,15.818,39.898,0.259,0.599,0.408,0.565,-0.653,1.111,0.902,0.615
E01012572,58.121,0.415,0.246,58.996,1.782,0.188,15.513,21.673,0.365,0.759,0.325,0.613,-0.757,1.16,0.037,0.559
E01012573,37.374,0.255,0.159,43.776,0.904,-0.134,9.874,45.18,0.202,0.67,-0.162,0.546,-1.596,0.259,1.113,0.528
E01012574,48.418,0.312,0.246,45.3,1.644,-0.139,13.662,22.343,0.282,0.4,0.114,0.536,-0.771,0.755,0.131,0.479
E01012575,56.863,0.363,0.266,54.132,2,0.476,12.954,15.259,0.204,0.626,0.369,0.569,-1.432,0.974,-0.623,0.636
E01012576,43.426,0.226,0.174,57.781,1.488,0.422,13.633,42.445,0.145,0.51,0.975,0.529,-0.794,0.773,0.92,0.812
E01012577,45.552,0.293,0.179,57.31,1.187,-0.042,11.152,51.34,0.262,0.523,0.617,0.565,-1.073,0.401,1.369,0.305
E01012578,51.584,0.355,0.229,50.331,1.331,0.371,12.483,37.518,0.279,0.653,0.251,0.556,-0.954,0.654,0.738,0.818
E01012579,42.232,0.289,0.2,51.49,1.183,0.278,17.175,12.829,0.229,0.566,-0.297,0.609,-0.327,0.885,-0.433,0.2
E01012580,40.635,0.306,0.165,48.244,1.036,-0.231,9.326,38.58,0.216,0.79,-0.48,0.592,-2.221,0.161,0.818,0.708
E01012581,12.323,0.07,0.058,5.734,0.191,-0.472,30.324,10.985,0.096,0.054,-0.804,0.234,1.244,-2.778,-0.24,-0.289
E01012582,11.833,0.083,0.077,6.887,-0.229,-0.269,23.589,6.277,0.1,0.094,-0.888,0.26,0.851,-2.724,-0.793,-0.323
E01012583,9.462,0.063,0.055,5.51,-0.121,-0.534,19.666,17.239,0.071,0.068,-1.014,0.243,0.685,-3.56,0.07,0.01
E01012584,11.484,0.072,0.067,4.736,0.083,0.184,19.574,8.034,0.063,0.106,-1.192,0.237,0.636,-2.807,-0.747,-0.101
E01012585,31.656,0.197,0.138,28.271,0.996,0.26,6.851,41.501,0.156,0.262,0.148,0.409,-0.936,-0.894,1.12,0.097
E01012586,53.209,0.294,0.243,44.883,1.433,0.605,10.055,63.053,0.162,0.516,0.086,0.536,-1.683,0.32,1.65,0.622
E01012587,30.457,0.196,0.127,19.53,0.489,0.682,4.705,53.522,0.15,0.272,-0.164,0.357,-0.796,-1.924,1.333,0.655
E01012588,31.993,0.209,0.118,28.268,1.048,-0.201,5.698,53.52,0.16,0.349,-0.169,0.44,-2.533,-0.853,1.489,0.106
E01012589,51.305,0.271,0.231,41.833,1.529,1.072,6.304,53.63,0.272,0.261,1.002,0.404,-0.877,-1.146,1.439,0.306
E01012590,35.697,0.205,0.146,32.638,1.367,0.549,5.695,40.002,0.278,0.223,0.735,0.364,-0.948,-1.26,0.954,0.461
E01012591,43.34,0.213,0.239,32.456,2.119,0.456,10.356,13.723,0.17,0.24,0.189,0.441,-0.259,-1.118,-0.145,-0.061
E01012592,13.102,0.067,0.055,11.258,0.096,-0.741,22.192,33.373,0.134,0.043,-0.051,0.234,0.855,-5.14,0.905,-0.161
E01012593,25.677,0.113,0.093,20.476,1.049,0.817,7.864,39.452,0.13,0.144,0.077,0.339,-0.205,-2.503,0.978,0.329
E01012594,49.883,0.306,0.234,49.579,1.541,0.824,19.055,17.178,0.396,0.243,1.059,0.46,0.273,-0.496,0.068,0.006
E01012595,51.687,0.288,0.196,40.864,1.295,1.688,11.578,57.771,0.335,0.294,0.968,0.401,-0.361,-0.468,1.381,0.93
E01012596,49.581,0.254,0.178,36.933,1.506,1.723,4.664,60.531,0.338,0.18,0.542,0.436,-1.982,-1.201,1.627,0.406
E01012597,11.627,0.054,0.058,9.494,0.31,0.236,17.577,12.339,0.077,0.068,-0.452,0.265,0.577,-4.052,-0.621,0.312
E01012598,6.527,0.023,0.035,4.608,0.043,0.059,17.099,7.491,0.025,0.055,-0.807,0.212,0.572,-5.524,-1.264,0.082
E01012599,20.502,0.08,0.075,18.087,0.562,0.454,11.547,46.646,0.117,0.092,0.101,0.309,0.175,-3.472,1.295,0.032
E01012600,47.205,0.267,0.226,49.24,1.924,0.49,10.182,18.184,0.283,0.328,0.802,0.498,-0.949,0.064,-0.063,0.334
E01012601,66.894,0.412,0.313,79.94,1.896,0.734,12.288,9.673,0.51,0.34,1.524,0.583,-0.624,0.233,-0.71,0.077
E01012602,11.372,0.057,0.069,13.42,0.349,-0.713,14.004,13.29,0.069,0.103,-0.027,0.266,0.352,-3.707,-0.262,0.058
E01012603,53.451,0.336,0.256,50.934,1.715,0.848,15.338,8.386,0.421,0.296,0.971,0.485,-0.034,-0.347,-0.869,0.025
E01012604,22.776,0.138,0.121,17.97,0.701,0.644,10.727,11.281,0.139,0.148,-0.323,0.356,0.01,-2.258,-0.64,0.209
E01012605,39.598,0.244,0.153,52.47,0.829,0.011,9.942,58.236,0.178,0.604,0.124,0.579,-1.742,0.297,1.56,0.392
E01012606,33.474,0.227,0.153,35.665,1.031,0.07,9.663,32.061,0.207,0.347,-0.238,0.502,-1.145,0.061,0.744,0.213
E01012607,25.662,0.193,0.132,31.404,0.447,-0.749,17.902,19.911,0.329,0.13,0.396,0.406,0.352,-1.219,0.372,-0.333
E01012608,41.867,0.274,0.192,43.793,1.183,0.558,12.992,30.214,0.289,0.313,1.16,0.388,-0.1,-0.81,0.785,-0.146
E01012609,7.256,0.034,0.04,7.205,0.189,-0.621,15.077,13.723,0.046,0.044,-0.484,0.229,0.422,-3.803,-0.173,-0.014
E01012610,14.986,0.081,0.08,9.654,0.812,-0.445,9.366,17.535,0.083,0.13,-0.388,0.26,-0.101,-2.286,0.063,0.058
E01012611,13.836,0.056,0.059,5.574,0.481,0.091,11.679,37.585,0.141,0.041,-0.624,0.214,0.182,-3.412,1.068,-0.206
E01012612,10.247,0.061,0.061,10.856,0.254,-0.428,8.749,13.568,0.065,0.068,-0.159,0.247,0.011,-4.519,-0.15,-0.069
E01012613,8.875,0.04,0.057,4.368,0.385,-0.399,14.528,11.451,0.069,0.04,-0.931,0.217,0.401,-4.305,-0.311,-0.105
E01012614,11.998,0.059,0.067,13.58,0.208,-0.427,21.91,10.469,0.086,0.07,-0.435,0.317,0.801,-3.473,-0.405,-0.114
E01012615,34.174,0.193,0.18,24.737,1.426,0.445,10.116,21.896,0.241,0.161,0.092,0.381,-0.335,-0.97,0.26,0.181
E01012616,19.055,0.1,0.101,19.864,0.769,0.018,11.707,13.892,0.092,0.145,0.11,0.328,0.185,-3.423,-0.015,-0.285
E01012617,32.942,0.141,0.131,35.126,1.043,0.761,9.487,50.678,0.149,0.093,0.858,0.366,-0.258,-1.439,1.384,0.169
E01012618,19.24,0.09,0.079,12.329,0.596,0.871,7.386,29.572,0.151,0.093,-0.449,0.303,-0.133,-3.765,0.626,0.242
E01012619,61.81,0.392,0.283,64.416,1.944,0.423,13.153,21.249,0.476,0.313,1.081,0.554,-0.385,0.02,0.195,0.232
E01012620,23.177,0.107,0.118,20.681,0.903,0.704,7.88,17.564,0.209,0.088,0.076,0.341,-0.137,-3.084,0.086,0.016
E01012621,50.714,0.274,0.246,37.675,2.285,0.992,9.663,19.742,0.275,0.323,0.832,0.396,-0.27,-1.321,0.21,0.034
E01012622,79.94,0.481,0.379,84.098,2.517,1.722,14.788,26.92,0.477,0.462,1.89,0.556,-0.722,0.966,0.339,0.595
E01012623,40.345,0.213,0.164,35.076,1.21,0.82,3.871,58.208,0.269,0.209,0.739,0.387,-0.924,-2.095,1.625,0.158
E01012624,52.452,0.239,0.22,44.762,2.077,1.736,6.088,37.46,0.293,0.244,1.068,0.417,-1.46,-0.819,0.848,0.501
E01012625,48.915,0.242,0.197,39.586,1.559,1.232,4.759,60.977,0.328,0.23,0.958,0.391,-1.389,-1.277,1.668,0.338
E01012628,11.05,0.033,0.03,5.393,-0.014,-0.641,29.551,37.91,0.068,0.038,-0.704,0.219,1.278,-5.117,1.034,-0.015
E01012629,39.439,0.194,0.194,23.253,1.406,1.287,9.668,32.566,0.176,0.156,0.026,0.374,-0.808,-0.217,0.44,0.96
E01012630,34.157,0.213,0.127,56.066,0.663,-0.069,11.111,44.976,0.177,0.539,0.329,0.587,-1.245,0.475,1.206,0.174
E01012631,62.042,0.388,0.328,54.221,1.89,0.547,14.152,15.313,0.331,0.527,0.485,0.559,-0.967,1.044,-0.529,0.561
E01012632,32.636,0.213,0.148,20.93,1.139,0.455,16.236,32.428,0.231,0.329,-0.064,0.361,0.147,-0.783,0.841,-0.058
E01012633,22.355,0.157,0.119,15.653,0.682,0.02,7.752,22.637,0.173,0.172,-0.105,0.308,-0.55,-1.222,0.363,0.067
E01012634,25.371,0.15,0.114,11.839,0.809,0.673,17.542,30.636,0.161,0.171,-0.208,0.27,0.413,-1.783,0.725,0.104
E01012635,21.183,0.113,0.113,11.706,0.575,0.097,22.571,25.592,0.089,0.159,-1.291,0.335,0.712,-1.796,0.479,0.148
E01012636,11.447,0.077,0.078,8.278,0.082,-0.204,10.06,11.044,0.092,0.067,-0.349,0.231,0.042,-3.041,-0.171,-0.416
E01012637,65.624,0.376,0.305,77.208,2.032,0.752,14.595,16.46,0.428,0.392,1.349,0.597,-0.516,0.644,-0.347,0.513
E01012638,64.719,0.38,0.326,55.078,2.418,0.942,11.516,16.987,0.393,0.349,0.839,0.528,-0.799,0.26,-0.22,0.418
E01012639,67.54,0.413,0.307,74.167,1.998,0.708,16.036,21.087,0.478,0.357,1.305,0.581,-0.281,0.533,-0.01,0.574
E01012640,48.091,0.247,0.203,45.559,1.48,1.114,5.224,52.207,0.256,0.242,0.81,0.469,-1.164,-1.236,1.331,0.517
E01012641,56.157,0.36,0.208,68.814,1.541,1.216,18.651,16.879,0.464,0.278,1.426,0.53,0.018,0.356,-0.319,0.529
E01012642,37.288,0.244,0.168,37.427,1.268,-0.136,12.982,35.965,0.125,0.566,-0.445,0.523,-0.481,0.162,0.852,0.324
E01012643,50.432,0.332,0.212,50.968,1.421,0.841,13.513,32.823,0.226,0.639,-0.054,0.584,-1.495,1.103,0.498,0.874
E01012644,30.882,0.229,0.113,37.947,0.347,0.409,8.534,43.921,0.087,0.815,-1.126,0.544,-1.675,-0.08,1.091,0.46
E01012645,19.675,0.141,0.089,20.618,0.256,-0.171,7.862,32.929,0.106,0.264,-1.215,0.421,-0.496,-1.306,0.867,-0.073
E01012646,56.176,0.331,0.269,59.649,1.486,0.754,8.92,35.519,0.461,0.241,1.395,0.475,-0.875,-0.348,0.765,0.529
E01012647,40.345,0.224,0.219,55.151,1.311,0.242,11.423,8.145,0.271,0.148,1.253,0.468,-0.406,-0.403,-0.726,-0.102
E01012648,44.767,0.205,0.175,45.845,1.395,1.059,5.988,60.471,0.298,0.131,1.189,0.402,-0.576,-1.878,1.751,0.013
E01012649,59.836,0.327,0.253,45.538,2.155,1.517,9.67,38.978,0.368,0.288,0.908,0.453,-0.89,-0.131,0.814,0.759
E01012650,63.066,0.34,0.225,75.245,1.644,1.179,6.402,62.81,0.45,0.219,1.759,0.519,-1.188,-0.84,1.645,0.617
E01012651,27.423,0.138,0.115,24.086,0.695,0.57,3.085,49.1,0.212,0.118,0.41,0.33,-1.062,-2.328,1.391,-0.048
E01012652,10.468,0.043,0.051,5.97,0.275,0.445,12.953,17.515,0.066,0.051,-0.651,0.225,0.319,-5.017,0.244,-0.361
E01012653,36.5,0.186,0.165,30.012,0.814,1.391,8.371,41.207,0.21,0.157,0.728,0.338,-0.342,-1.586,1.129,0.026
E01012654,43.505,0.208,0.176,33.907,1.288,1.211,7.109,61.329,0.223,0.216,0.682,0.386,-1.038,-0.726,1.49,0.931
E01012655,78.945,0.535,0.45,68.472,3.345,1.792,16.059,23.219,0.51,0.612,0.993,0.595,-0.723,1.25,-0.073,0.874
E01012656,52.557,0.331,0.228,43.333,1.208,0.598,14.935,58.873,0.275,0.573,0.017,0.532,-0.729,1.005,1.522,0.582
E01012657,49.757,0.296,0.204,49.877,1.295,0.162,13.028,65.271,0.26,0.421,0.205,0.557,-0.988,0.798,1.77,0.509
E01012658,37.417,0.189,0.168,26.275,1.411,0.607,11.142,47.809,0.17,0.205,-0.049,0.411,-0.105,-1.419,1.305,0.124
E01012659,14.542,0.074,0.069,8.22,0.226,0.299,4.675,34.449,0.073,0.12,-0.276,0.218,-0.427,-3.764,0.945,-0.159
E01012660,9.764,0.036,0.049,7.716,0.104,0.489,15.376,13.317,0.033,0.053,-0.451,0.234,0.446,-3.963,-0.023,-0.361
E01012661,26.092,0.144,0.097,25.702,0.758,0.196,2.689,49.5,0.217,0.171,0.482,0.337,-1.074,-2.569,1.433,-0.167
E01012662,37.608,0.206,0.202,26.609,1.898,-0.562,18.438,14.052,0.188,0.214,0.39,0.36,0.322,-0.888,-0.053,-0.179
E01012663,29.22,0.158,0.159,25.572,1.014,-0.036,9.424,33.358,0.188,0.141,0.317,0.36,-0.552,-0.686,0.818,0.139
E01012664,23.571,0.114,0.095,26.324,1.103,-0.44,7.063,37.529,0.135,0.133,0.488,0.343,-0.431,-1.852,0.962,0.166
E01012665,26.319,0.15,0.13,28.205,1.113,-0.339,10.901,23.905,0.168,0.174,0.519,0.357,-0.072,-1.676,0.443,0.038
E01012666,39.725,0.199,0.213,27.027,1.509,0.317,12.98,38.749,0.152,0.221,0.392,0.364,-0.427,0.062,1.066,-0.036
E01012667,18.412,0.105,0.093,11.327,0.884,-0.048,4.848,22.612,0.154,0.107,-0.4,0.286,-0.472,-3.111,0.486,-0.253
E01012668,29.322,0.152,0.127,22.249,1.186,0.486,9.647,38.039,0.17,0.172,0.229,0.337,-0.318,-1.183,1.011,0.08
E01012669,31.103,0.156,0.149,20.104,1.025,0.394,23.969,37.242,0.15,0.19,0.089,0.334,0.541,-0.329,1.038,-0.125
E01012670,87.112,0.543,0.392,78.82,2.532,2.342,13.746,65.102,0.678,0.398,1.646,0.556,-0.92,0.912,1.696,0.693
E01012671,88.026,0.469,0.394,86.291,2.764,3.044,17.602,64.366,0.566,0.342,1.949,0.563,-0.802,1.669,1.741,0.465
E01012672,88.139,0.474,0.396,82.415,2.562,2.427,16.39,71.66,0.588,0.321,2.018,0.534,-0.923,1.504,2.236,0.184
E01012673,88.774,0.609,0.459,92.253,3.351,2.882,15.672,58.416,0.74,0.602,2.169,0.587,-1.097,1.453,1.438,0.823
E01012674,83.919,0.461,0.374,65.908,2.539,2.122,14.972,68.124,0.581,0.365,1.559,0.492,-1.366,1.408,1.825,0.677
E01012675,82.236,0.51,0.357,72.266,2.062,1.623,11.747,67.259,0.708,0.362,1.94,0.477,-1.64,0.73,1.867,0.464
E01012676,38.409,0.194,0.176,23.808,1.697,0.833,7.549,36.425,0.241,0.209,0.324,0.34,-0.541,-1.311,0.912,0.193
E01012677,38.681,0.201,0.151,23.974,1.364,1.291,6.362,47.539,0.265,0.223,0.611,0.292,-0.775,-1.264,1.231,0.371
E01012678,72.165,0.36,0.265,83.94,2.349,1.515,12.83,54.687,0.433,0.354,1.628,0.594,-1.196,0.86,1.309,0.847
E01012679,82.897,0.487,0.343,78.315,2.567,1.94,12.856,55.944,0.604,0.474,1.919,0.519,-1.086,0.815,1.415,0.649
E01012680,69.964,0.409,0.279,55.523,1.911,2.093,12.993,43.562,0.529,0.388,1.26,0.47,-0.481,0.164,1.053,0.549
E01012681,88.408,0.499,0.464,81.122,3.547,3.35,17.688,63.619,0.567,0.44,2.233,0.516,-1.049,1.861,1.644,0.702
E01012682,86.803,0.539,0.398,76.164,2.81,2.747,16.944,61.196,0.653,0.477,1.881,0.51,-0.456,1.07,1.579,0.644
E01012683,84.357,0.52,0.445,55.476,3.019,2.285,15.139,68.39,0.673,0.403,1.075,0.502,-1.334,1.436,2.001,0.249
E01012684,63.027,0.358,0.271,58.09,2.5,0.843,10.833,38.92,0.436,0.315,1.328,0.477,-0.757,0.033,1.045,0.064
E01012685,31.459,0.178,0.107,35.376,1.009,0.142,10.783,52.685,0.262,0.205,0.674,0.402,-0.118,-1.503,1.352,0.51
E01012686,70.955,0.443,0.35,71.262,2.338,0.635,13.382,24.215,0.495,0.411,1.559,0.526,-1.337,1.044,0.416,0.131
E01012687,64.82,0.367,0.303,77.753,2.236,0.231,17.002,20.418,0.431,0.359,1.646,0.55,-0.485,1.133,0.3,-0.075
E01012688,41.806,0.25,0.178,38.752,1.758,0.183,17.801,31.099,0.34,0.285,0.519,0.455,0.212,-0.594,0.746,0.098
E01012689,36.249,0.174,0.166,33.938,1.497,0.564,14.538,33.628,0.219,0.162,0.759,0.373,0.103,-1.126,0.62,0.696
E01012690,21.816,0.149,0.098,22.101,0.699,-1.102,12.987,31.922,0.221,0.149,0.282,0.328,0.163,-2.151,0.863,-0.199
E01012691,29.6,0.145,0.128,33.47,1.278,0.277,12.016,30.437,0.164,0.143,0.749,0.37,-0.112,-1.073,0.656,0.253
E01012692,41.692,0.223,0.216,29.025,1.99,0.395,16.721,14.744,0.185,0.308,0.409,0.382,0.059,-0.287,-0.138,0.054
E01012693,24.746,0.122,0.097,26.199,0.949,0.449,9.517,34.447,0.165,0.123,0.509,0.338,-0.166,-1.805,0.922,-0.078
E01012694,39.258,0.2,0.158,36.549,1.614,0.449,8.818,47.726,0.234,0.256,0.981,0.356,-0.687,-0.627,1.156,0.66
E01012695,50.654,0.28,0.2,46.197,1.761,0.982,10.265,49.301,0.39,0.365,1.025,0.438,-0.598,-0.348,1.212,0.631
E01012696,42.4,0.219,0.159,42.414,1.618,0.842,7.21,48.818,0.341,0.188,1.055,0.398,-0.772,-0.981,1.267,0.377
E01012697,35.849,0.184,0.172,34.763,1.596,0.215,12.358,27.808,0.211,0.188,0.697,0.392,-0.153,-0.812,0.518,0.299
E01012698,60.918,0.334,0.276,70.851,1.842,0.708,14.028,33.13,0.381,0.315,1.704,0.5,-0.375,0.224,0.777,0.233
E01012699,28.078,0.136,0.12,34.25,1.109,0.028,11.121,36.221,0.207,0.121,0.825,0.364,-0.089,-1.505,0.934,0.1
E01012700,21.691,0.114,0.093,22.114,0.821,0.013,4.161,34.76,0.135,0.151,0.292,0.327,-0.738,-2.387,0.838,0.232
E01012701,23.157,0.114,0.092,26.643,0.744,0.306,6.873,37.99,0.165,0.111,0.313,0.371,-0.474,-1.793,0.968,0.198
E01012702,53.91,0.302,0.286,37.121,2.162,0.807,11.865,16.368,0.247,0.353,0.654,0.422,-0.549,-0.003,-0.104,0.192
E01012703,22.235,0.118,0.117,20.885,1.03,-0.1,6.894,18.88,0.149,0.114,0.151,0.334,-0.695,-1.216,0.278,-0.24
E01012704,60.653,0.378,0.334,40.074,2.687,0.277,17.856,6.647,0.319,0.453,0.585,0.457,-0.132,0.61,-0.753,-0.3
E01012705,40.445,0.201,0.198,45.301,1.406,0.938,8.332,23.514,0.206,0.208,1.287,0.373,-1.004,-0.391,0.461,-0.056
E01012706,19.351,0.113,0.087,16.951,0.802,-0.204,7.054,28.957,0.145,0.166,-0.036,0.314,-0.5,-1.625,0.794,-0.381
E01012707,54.451,0.3,0.235,33.694,2.024,1.334,12.169,41.512,0.367,0.316,0.557,0.405,-1.055,0.648,0.919,0.721
E01012708,32.225,0.165,0.122,19.152,1.57,0.783,7.778,38.008,0.192,0.255,0.034,0.33,-0.419,-1.575,0.949,0.252
E01012709,49.534,0.261,0.192,35.185,1.755,1.153,8.13,58.981,0.319,0.239,0.664,0.402,-0.911,-0.539,1.521,0.602
E01012710,21.683,0.11,0.08,10.671,1.278,0.04,13.53,32.621,0.141,0.131,-0.358,0.272,0.195,-2.108,0.644,0.529
E01012711,42.951,0.213,0.157,35.925,1.689,1.057,6.976,52.136,0.286,0.241,0.659,0.41,-0.968,-0.825,1.265,0.74
E01012712,25.547,0.104,0.076,18.731,0.753,1.485,8.643,40.902,0.16,0.108,0.189,0.303,-0.161,-2.292,0.95,0.569
E01012713,24.343,0.132,0.088,22.419,0.787,0.743,7.726,35.775,0.196,0.147,0.204,0.343,-0.566,-1.199,1.024,-0.276
E01012714,27.26,0.132,0.111,20.874,1.105,0.851,8.195,33.194,0.128,0.161,0.154,0.333,-0.455,-1.299,0.786,0.213
E01012715,27.165,0.13,0.103,20.144,0.922,0.51,6.435,52.011,0.167,0.158,0.201,0.318,-0.552,-1.748,1.259,0.745
E01012716,22.976,0.128,0.094,20.835,0.96,0.038,14.309,31.256,0.192,0.154,0.129,0.336,0.034,-0.899,0.774,0.024
E01012717,13.403,0.068,0.06,6.986,0.611,0.062,16.972,19.24,0.08,0.1,-0.952,0.264,0.456,-2.46,0.282,-0.198
E01012718,13.638,0.069,0.067,10.844,0.551,0.167,11.37,16.723,0.07,0.079,-0.666,0.301,0.089,-2.516,0.163,-0.268
