LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01005360,28.832,0.153,0.167,34.878,1,0.355,9.607,6.237,0.238,0.113,0.889,0.357,-0.194,-1.636,-0.901,-0.25
E01005361,13.087,0.071,0.065,7.5,0.176,0.72,6.907,16.036,0.1,0.077,-0.915,0.27,-0.204,-3.336,-0.031,0.041
E01005362,23.029,0.093,0.089,22.62,0.355,0.802,9.901,47.236,0.128,0.094,0.17,0.349,-0.091,-2.05,1.109,0.759
E01005363,32.313,0.168,0.142,31.679,0.73,1.049,3.23,40.841,0.23,0.167,0.579,0.382,-1.148,-2.115,0.899,0.72
E01005364,16.61,0.078,0.072,17.69,0.105,0.735,8.235,29.176,0.106,0.09,-0.37,0.356,-0.109,-3.061,0.649,0.132
E01005365,15.619,0.053,0.063,17.794,0.457,0.483,16.218,26.928,0.077,0.066,-0.187,0.341,0.473,-3.381,0.576,0.066
E01005366,37.135,0.22,0.19,36.715,0.991,0.86,11.846,23.841,0.212,0.287,0.483,0.443,-0.238,-0.705,0.408,0.106
E01005367,11.592,0.056,0.053,9.388,-0.078,0.666,19.363,11.778,0.079,0.077,-0.81,0.291,0.68,-3.899,-0.299,-0.08
E01005368,40.158,0.21,0.178,39.091,1.161,1.094,9.467,40.208,0.269,0.233,0.724,0.428,-0.647,-0.495,0.912,0.612
E01005369,41.604,0.236,0.141,41.767,1.194,1.768,9.011,36.434,0.37,0.26,0.882,0.424,-0.688,-0.568,0.895,0.252
E01005370,50.672,0.261,0.221,51.683,1.415,1.824,12.62,29,0.298,0.257,0.984,0.489,-0.631,0.327,0.453,0.586
E01005371,43.104,0.208,0.16,38.502,1.194,1.898,6.571,47.832,0.295,0.125,0.8,0.411,-0.883,-1.043,1.049,0.983
E01005372,32.309,0.192,0.142,32.81,0.973,0.878,5.227,28.979,0.222,0.208,0.493,0.406,-1.262,-1.182,0.636,0.147
E01005373,12.532,0.062,0.067,15.879,0.353,0.088,4.552,14.976,0.058,0.072,-0.366,0.337,-0.666,-2.369,-0.158,0.113
E01005374,28.457,0.169,0.12,42.136,0.541,0.345,13.518,32.556,0.242,0.172,0.881,0.428,0.021,-1.099,0.756,0.233
