OA21CD,GreenspaceTotal,GreenspacePublic
E00000502,0.0696,0.0696
E00000503,0,0
E00000504,0,0
E00000505,0,0
E00000506,27.0947,27.0947
E00000507,34.3514,34.3514
E00000508,62.0698,62.0698
E00000509,0,0
E00000510,0,0
E00000511,0,0
E00000512,2.2428,0
E00000513,0.8156,0.8156
E00000514,4.7098,4.7098
E00000515,0.4091,0
E00000516,0,0
E00000517,0,0
E00000518,0,0
E00000519,12.052,6.3641
E00000520,0,0
E00000521,0,0
E00000522,0,0
E00000523,31.8349,7.8631
E00000524,0.0933,0
E00000525,21.2722,21.2722
E00000526,17.5053,0
E00000527,12.1067,0
E00000528,12.1252,12.1252
E00000529,0,0
E00000530,16.9426,16.9426
E00000531,0.7061,0
E00000532,72.9,72.9
E00000533,25.7395,25.7395
E00000534,35.3074,35.3074
E00000535,7.5174,7.5174
E00000536,53.7324,53.7324
E00000537,84.4544,84.4544
E00000538,43.48,43.48
E00000539,5.7772,5.7772
E00000540,34.4304,34.4304
E00000541,0,0
E00000542,26.2775,0
E00000543,0,0
E00000544,0,0
E00000545,0,0
E00000547,40.2675,0
E00000548,0,0
E00000549,0,0
E00000550,0,0
E00000551,0,0
E00000552,0,0
E00000553,0,0
E00000554,0,0
E00000555,0,0
E00000556,0,0
E00000557,0,0
E00000558,0,0
E00000559,0,0
E00000560,0.0189,0
E00000561,0,0
E00000562,1.3467,0
E00000563,0,0
E00000564,47.4333,0
E00000565,28.6362,0
E00000566,0,0
E00000567,0,0
E00000568,2.5713,0
E00000569,0,0
E00000570,0,0
E00000571,0.8058,0
E00000572,0,0
E00000573,0,0
E00000574,0,0
E00000575,0,0
E00000576,0,0
E00000577,0,0
E00000578,0,0
E00000579,0,0
E00000580,0,0
E00000581,0,0
E00000583,0,0
E00000584,17.1943,17.1943
E00000585,0,0
E00000586,0,0
E00000587,0,0
E00000588,31.5974,31.5974
E00000589,0,0
E00000590,25.6967,25.6967
E00000591,37.9865,37.9865
E00000592,0,0
E00000593,0,0
E00000594,0,0
E00000595,40.3458,40.3458
E00000596,0.1073,0
E00000597,0,0
E00000598,3.8931,3.7283
E00000599,3.081,3.081
E00000600,4.455,1.4444
E00000601,10.4098,5.7571
E00000602,0.7412,0
E00000603,28.9803,0
E00000604,39.1556,0
E00000605,22.5481,12.0075
E00000606,49.8065,0
E00000607,0,0
E00000608,0,0
E00000609,0,0
E00000610,0,0
E00000611,0,0
E00000612,0,0
E00000613,0,0
E00000614,0,0
E00000615,4.8844,0
E00000616,3.1026,3.1026
E00000617,0,0
E00000618,0.6375,0.0107
E00000619,0,0
E00000620,0,0
E00000622,0,0
E00000624,0,0
E00000625,0.4915,0
E00000626,0,0
E00000627,0,0
E00000628,39.7334,35.6489
E00000629,0,0
E00000630,51.068,0
E00000631,0,0
E00000632,0,0
E00000633,54.0999,40.5165
E00000634,0.9713,0
E00000635,0,0
E00000636,0,0
E00000637,0,0
E00000638,0,0
E00000640,1.5994,1.5994
E00000641,0,0
E00000642,59.4507,59.4507
E00000643,0,0
E00000644,16.5924,15.392
E00000645,4.8914,4.8914
E00000646,0,0
E00000647,0,0
E00000648,32.9416,0
E00000649,0.0002,0
E00000650,42.6231,42.6231
E00000651,16.4593,16.4593
E00000652,0,0
E00000653,0,0
E00000654,10.2255,0
E00000655,0.511,0
E00000656,0,0
E00000657,0,0
E00000658,0,0
E00000659,5.4718,5.4718
E00000660,0,0
E00000661,0,0
E00000662,0,0
E00000663,7.6507,7.6507
E00000664,0,0
E00000666,0,0
E00000667,0,0
E00000668,1.6011,0
E00000669,0,0
E00000670,0,0
E00000671,6.3365,0
E00000672,0.4681,0
E00000674,45.4329,0
E00000675,0,0
E00000676,0,0
E00000677,0,0
E00000678,0,0
E00000679,0,0
E00000681,0,0
E00000682,27.9008,0
E00000683,12.6155,0
E00000684,1.0423,0
E00000685,0,0
E00000686,0,0
E00000687,0.1189,0
E00000688,2.3043,0
E00000689,0,0
E00000690,0,0
E00000691,0,0
E00000692,5.923,0
E00000693,0,0
E00000694,0,0
E00000695,0,0
E00000697,0,0
E00000698,38.3824,24.3186
E00000699,0,0
E00000700,2.6675,0
E00000701,0,0
E00000702,0,0
E00000703,20.1136,20.1136
E00000704,0,0
E00000705,45.7458,45.7458
E00000706,0,0
E00000707,32.7998,32.7998
E00000708,28.2849,0
E00000709,0,0
E00000710,27.7887,0
E00000711,0.1341,0.1341
E00000712,0,0
E00000713,0,0
E00000714,0,0
E00000715,0,0
E00000716,0,0
E00000717,0,0
E00000718,0,0
E00000719,0,0
E00000720,15.229,0
E00000721,5.286,5.286
E00000722,3.6059,3.6059
E00000723,0,0
E00000724,0.0066,0
E00000725,25.1508,25.1508
E00000726,0,0
E00000727,0,0
E00000728,0,0
E00000730,0,0
E00000732,0,0
E00000737,0,0
E00000738,13.6021,13.6021
E00000739,0,0
E00000740,0,0
E00000742,10.0469,0
E00000743,0,0
E00000745,0,0
E00000746,7.8777,0
E00000747,0.6909,0
E00000748,4.2702,0
E00000749,2.3836,0
E00000750,0,0
E00000751,0,0
E00000752,0,0
E00000754,0,0
E00000755,0,0
E00000756,0,0
E00000757,0,0
E00000758,0,0
E00000761,0,0
E00000763,9.162,0
E00000767,0,0
E00000768,15.3425,0
E00000769,0,0
E00000770,0,0
