MSOA21CD,GreenspaceTotal,GreenspacePublic,TreeCover,OutdoorAddresses
E02000266,26.6767,2.9616,11.0578,83.8795
E02000267,4.1264,0,9.5879,91.5385
E02000268,18.2725,10.1831,12.9229,90.3965
E02000269,15.4882,15.3025,11.3752,90.7397
E02000270,3.8017,0.3994,10.8919,74.4307
E02000271,0.0992,0,9.6422,88.0025
E02000272,10.0198,3.3194,10.8664,96.7182
E02000275,7.8452,1.0092,10.4147,85.4866
E02000276,9.8242,0,11.4496,90.2307
E02000277,4.5158,0,9.4087,88.8201
E02000278,8.7216,0,12.458,81.0834
E02000279,1.8403,0,11.6492,76.7722
E02000280,13.7541,5.9036,21.5033,89.0782
E02000281,5.3379,0,14.1921,76.7368
E02000282,21.6544,3.227,12.9867,73.1331
E02000283,12.508,0,8.5069,96.6243
E02000284,5.9565,2.1959,15.8576,85.1334
E02000285,3.7141,0,9.8053,96.9591
E02000286,5.4831,0.0973,24.3198,74.3313
E02000287,33.1651,20.6875,32.105,80.3972
E02000288,17.2313,0,8.8775,82.6881
E02000289,11.5996,1.3767,16.9894,97.494
E02000290,3.9074,0,7.7243,63.7641
E02000291,4.1308,0.8966,15.5213,67.4484
E02000292,22.9024,4.588,10.7295,98.0899
E02000293,26.0368,4.3222,28.0445,94.6092
E02000294,17.2623,0.1486,6.9868,96.0703
E02000295,17.6934,15.9718,21.8098,75.0575
E02000296,20.424,0.6026,18.9411,69.163
E02000297,8.3344,1.5909,15.0312,91.2088
E02000298,19.4038,18.3378,23.6064,93.3252
E02000299,9.9698,6.4419,9.5086,93.2171
E02000300,8.2761,0,9.7921,89.2554
E02000301,8.8713,0.6343,7.7289,83.6243
E02000302,27.4141,0,11.2052,94.2603
E02000303,25.1203,16.3442,15.3708,84.7128
E02000304,16.4893,7.9417,20.8634,95.9003
E02000305,0.5878,0,16.2101,92.3315
E02000306,10.9166,1.8065,8.6569,55.3122
E02000307,11.7456,5.4461,9.539,98.1094
E02000308,9.5287,9.3874,15.0696,79.5131
E02000309,2.4241,0.6635,7.021,83.3913
E02000311,14.9585,7.3011,12.0857,91.3548
E02000312,12.253,11.5724,15.0942,90.2666
E02000313,0.5356,0,25.0603,91.7642
E02000314,0.2997,0,13.7936,86.264
E02000315,6.2583,4.2882,8.9327,87.0308
E02000317,4.5638,3.2169,15.9623,65.4455
E02000318,13.7021,8.1727,9.4878,93.7657
E02000319,9.086,8.7413,10.2862,83.1039
E02000320,10.3763,10.1305,24.8908,94.0522
E02000321,9.4828,8.8582,15.3789,78.8918
E02000323,0.487,0.0207,12.1806,77.0758
E02000324,25.4313,15.0553,22.4998,76.4468
E02000326,0.5522,0,15.3107,86.7128
E02000327,34.0695,24.3598,20.8152,85.9304
E02000328,1.1867,0.3606,28.7083,86.2893
E02000329,13.2485,2.483,20.2577,96.8546
E02000331,13.9815,10.054,14.4337,87.2265
E02000332,23.9188,9.7146,29.8372,92.431
E02000333,7.4496,5.0606,29.9005,86.1519
E02000334,16.9281,1.2993,14.4003,88.8175
E02000335,5.0963,4.759,18.6408,98.7737
E02000337,8.6563,3.291,11.6557,91.6378
E02000339,6.8112,0.058,10.5008,87.1709
E02000340,38.3709,5.3424,21.0849,80.9139
E02000341,15.4542,6.6407,13.504,90.0292
E02000342,25.6349,14.2107,10.8836,86.7159
E02000343,5.9622,0.3047,10.7229,91.6011
E02000344,9.1641,0.7951,11.107,94.3662
E02000345,6.8157,0.0008,12.8868,73.9703
E02000346,3.3223,1.5312,16.1473,62.7677
E02000347,2.2294,1.4971,20.0168,77.3083
E02000348,19.7423,18.6964,18.8233,55.5206
E02000350,1.4107,1.3381,16.7116,87.4317
E02000351,1.3609,0,13.7981,87.564
E02000352,38.0512,29.8244,27.0417,75.7917
E02000353,14.7539,0.8384,17.4073,78.1204
E02000354,20.9463,20.5988,16.1356,82.109
E02000355,15.5891,2.4822,17.8377,90.535
E02000356,2.4468,1.6078,13.9399,78.7673
E02000357,55.2791,2.5586,16.6152,84.8377
E02000358,1.8482,0.5348,10.9787,69.7011
E02000359,5.3974,0,11.0621,93.6887
E02000360,0.4653,0.1756,12.5829,63.1942
E02000361,5.7838,3.7097,11.7539,62.7563
E02000362,21.0801,10.9775,13.6189,81.6447
E02000363,3.5314,1.7133,10.5973,64.5392
E02000364,2.9906,2.1755,16.7157,82.2406
E02000366,15.8824,14.7077,16.6646,86.9973
E02000367,13.8446,13.7664,15.8382,68.6332
E02000368,16.0004,14.5954,16.4841,71.4625
E02000369,3.489,0.5318,10.2351,48.8572
E02000370,16.5569,15.4896,15.8371,50.1619
E02000372,30.7285,19.1282,7.0789,85.2018
E02000373,9.9713,7.4243,12.848,76.4122
E02000374,0.1948,0,8.8809,92.3956
E02000375,7.2735,6.4896,8.9594,81.0737
E02000376,0.1116,0,5.9109,86.4154
E02000377,1.5344,1.3351,7.4898,82.0802
E02000378,0,0,8.7271,85.5191
E02000379,15.3826,13.4253,12.4118,71.3998
E02000380,0,0,9.4879,90.5596
E02000381,3.3426,3.3426,9.5985,92.4246
E02000382,9.8135,9.3676,11.9292,82.1227
E02000383,1.8072,0.871,10.706,74.4471
E02000384,3.4714,1.7447,8.172,68.9176
E02000385,29.853,0,9.6447,91.9773
E02000386,1.0177,0,7.3677,77.9067
E02000387,12.9294,0,12.0179,66.4645
E02000388,2.7662,1.4215,9.0257,79.6181
E02000389,1.372,0,8.8309,87.3655
E02000390,2.9478,0,5.9253,88.1914
E02000391,7.9288,7.9288,14.2884,85.5711
E02000392,0.2156,0,7.1252,81.923
E02000393,11.8015,0,7.9098,95.4592
E02000394,3.3958,1.6484,7.5522,65.9559
E02000395,42.8611,2.5374,13.4246,77.2443
E02000396,1.871,0,15.0216,71.5587
E02000397,2.1008,0.7017,13.4041,80.4463
E02000398,4.0041,0,12.8121,86.5686
E02000400,22.0746,7.4811,22.8492,71.7511
E02000401,6.4922,0.0471,11.0593,93.7476
E02000402,34.6146,9.7998,19.3563,81.7467
E02000403,28.692,7.1608,15.0641,93.5857
E02000404,13.0399,1.1972,10.1276,73.7857
E02000405,48.3257,33.1523,24.6264,95.0306
E02000406,5.2062,0,10.8755,94.5059
E02000407,0.0254,0,12.5508,90.7258
E02000408,4.5444,3.8407,10.928,88.3439
E02000409,34.9503,33.5425,12.7649,58.2172
E02000410,5.0723,0,22.0111,78.4151
E02000411,7.4326,3.5936,16.5848,82.1775
E02000412,3.1338,2.3565,8.589,76.9859
E02000413,12.1493,0.1147,28.7124,90.9377
E02000414,0.1256,0.073,9.6156,98.1849
E02000415,21.8245,17.3155,13.6201,92.8974
E02000416,3.2247,1.4596,15.2479,68.5185
E02000417,8.8388,0.962,32.9186,90.6221
E02000418,17.651,10.7183,21.4814,87.1676
E02000419,5.3583,4.751,12.9513,80.4668
E02000420,1.6233,0,14.6175,77.3458
E02000421,2.5047,1.8757,13.1352,76.563
E02000422,7.5496,0,12.3278,84.8166
E02000423,3.2004,0,11.4462,89.3679
E02000424,2.3912,2.3912,15.2607,89.9194
E02000425,15.6759,0,12.6675,94.3585
E02000426,21.2089,0.0028,39.0349,82.2813
E02000427,44.8441,44.8441,17.1392,90.779
E02000428,2.071,0,15.2569,79.755
E02000429,12.2723,0.6216,33.2547,86.2674
E02000430,0.4875,0,20.3063,83.5313
E02000431,0.1382,0,27.378,88
E02000432,0,0,19.2918,92.776
E02000433,9.0727,5.3696,37.9487,70.7511
E02000434,11.3897,9.3388,22.5145,77.268
E02000435,23.8196,0,26.938,89.2398
E02000436,10.7549,0,23.5461,95.2403
E02000437,7.5379,0,16.1744,87.985
E02000438,6.0365,0,17.6806,82.7476
E02000439,12.7353,0,8.5218,83.6101
E02000440,10.8883,0,10.8493,96.1587
E02000441,26.5801,0.5599,23.9662,81.6672
E02000442,0.0343,0,5.6219,97.145
E02000443,1.4153,0.7639,7.6927,91.4075
E02000444,15.3725,5.6965,8.7255,93.9919
E02000445,12.823,0,8.8598,84.9291
E02000447,17.9913,0,11.5917,90.8792
E02000448,7.3548,5.2554,22.019,75.9459
E02000449,6.8854,0,7.2893,93.8641
E02000451,8.209,0.4784,12.4239,92.4224
E02000452,0.0021,0,10.0438,86.5114
E02000453,15.7852,0,11.6483,81.4838
E02000454,5.3279,1.6525,18.8473,96.3453
E02000455,4.3989,2.7803,13.3237,60.6646
E02000456,15.494,0,11.7821,92.3983
E02000457,7.4574,0,15.3404,82.906
E02000459,0.8309,0,19.6293,74.9722
E02000460,13.6365,11.2933,10.5721,88.0971
E02000461,13.6398,0.0126,23.9898,67.1155
E02000462,22.3681,9.1149,12.2197,92.2788
E02000463,0.3852,0,9.2349,91.9524
E02000464,12.1178,6.8172,14.9279,89.9204
E02000465,16.9749,4.5776,18.145,93.7203
E02000466,12.6173,12.1166,12.1562,95.1205
E02000467,5.2987,2.0933,5.7425,93.6728
E02000468,15.1413,6.7246,10.7002,97.5973
E02000469,16.6586,0,8.5583,87.039
E02000470,15.2729,14.5855,17.516,92.8769
E02000471,20.8712,6.4354,10.2556,98.3477
E02000472,4.7806,0,8.7724,95.4383
E02000473,9.5688,7.559,12.5018,91.6547
E02000474,7.3908,0.8687,8.4609,90.1131
E02000475,25.4554,8.6133,15.1774,74.0313
E02000476,2.5323,1.7523,7.4688,62.2126
E02000477,5.6058,0,11.1701,95.1788
E02000478,0.1489,0,16.5557,93.1567
E02000479,2.5187,0,7.2433,78.2887
E02000480,30.8202,1.3464,7.4243,84.7188
E02000481,7.0259,0,15.9234,90.8635
E02000482,17.6848,0.4225,15.8586,96.6976
E02000483,8.8061,2.6677,13.2133,78.0911
E02000484,24.1443,18.2574,12.1291,94.2698
E02000485,13.2378,2.9415,12.3233,90.4615
E02000486,4.6078,4.6078,7.3322,91.4204
E02000487,10.1047,5.4281,12.9758,98.2883
E02000488,23.0161,22.8955,12.178,96.8833
E02000489,31.0565,29.4294,9.8714,91.2636
