LSOA21CD,TotPopChange_2001_17
E01000860,2.5641
E01000861,30.3944
E01000862,5.8749
E01000863,18.1574
E01000866,39.6727
E01000867,26.931
E01000868,12.5369
E01000869,46.829
E01000870,13.0042
E01000871,24.9511
E01000872,41.0239
E01000873,15.8945
E01000874,21.7862
E01000875,8.2542
E01000876,19.6469
E01000877,21.4728
E01000878,48.5229
E01000879,23.9808
E01000880,44.2506
E01000881,50.3145
E01000882,42.0781
E01000883,16.7464
E01000884,30.8088
E01000885,27.673
E01000886,8.2183
E01000887,13.9613
E01000888,18.4555
E01000889,32.7815
E01000890,7.2727
E01000891,21.8663
E01000892,46.658
E01000893,8.4821
E01000894,14.1949
E01000895,20.9363
E01000896,24.3855
E01000897,39.2213
E01000898,56.9231
E01000899,30.415
E01000900,32.8205
E01000901,44.1648
E01000902,9.0273
E01000903,17.9434
E01000904,47.089
E01000905,20.8761
E01000906,5.0525
E01000907,2.2383
E01000908,20.8145
E01000909,12.0625
E01000910,14.2953
E01000911,12.2112
E01000912,3.855
E01000913,16.0173
E01000914,34.976
E01000915,5.972
E01000916,66.1785
E01000917,30.6432
E01000918,32.679
E01000919,28.9941
E01000920,49.0285
E01000921,59.5125
E01000922,38.9482
E01000923,8.2612
E01000924,16.9067
E01000925,8.0802
E01000926,34.3091
E01000927,39.1545
E01000928,16.2617
E01000929,27.0951
E01000930,53.0764
E01000931,54.5085
E01000932,7.6305
E01000933,24.6867
E01000934,26.9831
E01000935,4.2746
E01000937,40.5775
E01000938,22.069
E01000939,-5.6374
E01000941,-8.3857
E01000942,25.4603
E01000943,-37.603
E01000944,55.5056
E01000946,34.6053
E01000947,41.2972
E01000948,20.3964
E01000949,32.5444
E01000951,20.3869
E01000952,15.3943
E01000954,13.8735
E01000955,6.8726
E01000956,20.7461
E01000957,-0.8892
E01000958,96.643
E01000959,21.7857
E01000960,38.8514
E01000961,25.8003
E01000962,25.1497
E01000963,88.4615
E01000964,13.936
E01000965,30.2113
E01000966,12.7113
E01000967,29.5886
E01000968,6.6357
E01000969,18.5488
E01000970,14.4986
E01000971,20.8807
E01000972,52.7651
E01000973,68.7542
E01000974,33.197
E01000975,15.2911
E01000976,16.0394
E01000977,13.555
E01000978,20.0262
E01000979,13.5637
E01000980,-15.1738
E01000981,11.4213
E01000982,8.961
E01000983,6.4832
E01000984,25.5155
E01000985,1.9108
E01000986,11.2258
E01000987,0.071
E01000989,6.5961
E01000990,11.5385
E01000991,0.7376
E01000992,29.797
E01000993,11.5256
E01000994,-3.4675
E01000995,16.9158
E01000996,-16.7243
E01000997,-5.0137
E01000998,-3.3792
E01000999,-10
E01001000,-10.5502
E01001001,-1.8223
E01001002,-8.7696
E01001003,2.6503
E01001004,40.9774
E01001005,13.7307
E01001006,4.0103
E01001007,18.0571
E01001008,11.8074
E01001009,31.6414
E01001010,8.4712
E01001011,50.2022
E01001012,36.849
E01001013,37.484
E01001015,3.8723
E01001016,8.648
E01001017,2.6119
E01001018,3.071
E01001019,-1.1538
E01001020,4.6943
E01001021,8.1458
E01001022,-0.6911
E01001023,18.4153
E01001024,-6.1928
E01001025,-9.078
E01001026,11.3341
E01001027,16.1834
E01001028,-1.788
