LSOA21CD,EntirehomesPer,BedspacePer
E01000183,0,1.045068583
E01000184,0.558659218,1.167964405
E01000185,1.361573374,2.87868403
E01000186,0.192678227,0.668523677
E01000187,0.332225914,0.284414107
E01000188,0,0.632911392
E01000189,0.294117647,0.938009788
E01000190,0,0.343642612
E01000191,0,1.091843288
E01000192,0.131406045,0.593765463
E01000193,0.132802125,1.25502008
E01000194,0.4,2.707006369
E01000195,0,0.099750623
E01000196,0.930626058,3.734827264
E01000197,0.131926121,0.875273523
E01000198,0.122249389,0.979020979
E01000199,0,0.061576355
E01000200,0.106157113,0.688637482
E01000201,0.362318841,0.788954635
E01000202,0.151745068,0.787401575
E01000203,0.410396717,2.618920363
E01000204,0.134952767,2.735739232
E01000205,0,0.45691906
E01000206,0.495867769,2.336448598
E01000207,0.145772595,1.01010101
E01000208,0,0.609384522
E01000209,0,2.506596306
E01000210,0.327868852,2.887139108
E01000211,0.595829196,3.257790368
E01000212,0.171232877,1.838235294
E01000213,0,0.146520147
E01000214,0.361445783,1.919616077
E01000215,0.261096606,0.743494424
E01000216,0.659630607,1.926977688
E01000217,1.039861352,3.762268266
E01000218,0.775193798,3.344298246
E01000219,1.721664275,2.811791383
E01000220,0.547195622,2.264349658
E01000221,0.925925926,2.175390891
E01000222,0.526315789,2.178217822
E01000223,0.912646675,3.13253012
E01000224,1.192504259,3.151010702
E01000225,1.018675722,3.937432578
E01000226,0,0.994152047
E01000227,0.162337662,0.422609614
E01000228,0.209643606,0.282885431
E01000229,0,0
E01000230,0,0.101936799
E01000231,0,0.173010381
E01000232,0.27027027,0.823271131
E01000233,0.295420975,1.472908995
E01000234,0.828729282,2.94287363
E01000235,0.589970501,1.227678571
E01000236,0.136054422,0.528262018
E01000237,1.618929016,4.139834407
E01000238,0.746268657,2.333333333
E01000239,0.406091371,4.066985646
E01000240,0.749625187,2.378255946
E01000241,0.27100271,2.082191781
E01000242,0.474683544,1.298701299
E01000243,0.314795383,1.859600186
E01000244,0.45112782,2.177858439
E01000245,0.214132762,1.260300533
E01000246,0.149031297,1.090442591
E01000247,0,0.363416111
E01000248,0.269905533,0.648202711
E01000249,0.159489633,0.375469337
E01000250,0.083542189,0.537221796
E01000251,0.180342651,1.438202247
E01000252,0,0.53222945
E01000253,0,0.099108028
E01000254,0.15128593,0.311332503
E01000255,0.29455081,1.176470588
E01000256,0.284900285,1.436634171
E01000257,0.392927308,2.045929019
E01000258,0,1.327668614
E01000259,0.296150049,1.407379232
E01000260,0.692840647,1.568989386
E01000261,0.141643059,0.333148251
E01000263,0,0.195822454
E01000264,0.377358491,1.310759148
E01000265,0,0.526315789
E01000266,0,0.207039337
E01000267,0,0
E01000268,0.101832994,1.333992095
E01000269,0,0.146842878
E01000270,0.154559505,0.598802395
E01000271,0,0.428921569
E01000272,0,0.503959683
E01000273,0.256739409,1.258992806
E01000274,0.417246175,1.306165099
E01000275,0.142857143,0.455580866
E01000276,0,0.738255034
E01000277,0,0.648584906
E01000278,0,0.675219446
E01000279,0.182481752,0.653120464
E01000280,0,0.440852314
E01000281,0.116686114,1.004520342
E01000282,0.69637883,2.652825836
E01000283,0,0.966542751
E01000284,0,0.633579725
E01000285,0.318979266,0.675219446
E01000286,0,0.057405281
E01000287,0,0
E01000288,0,0.590551181
E01000289,0,0.386349002
E01000290,0,0
E01000291,0.159744409,0.853578464
E01000292,0,0.319488818
E01000293,0.139470014,0.67834935
E01000294,0.13368984,0.847457627
E01000295,0,0.49937578
E01000296,0.368550369,1.495844875
E01000297,0,0.762829404
E01000298,0.252844501,2.121559633
E01000299,0.210304942,1.052150046
E01000300,0,0.426569165
E01000301,0,1.246537396
E01000302,0.569476082,1.220865705
E01000303,0,1.054018445
E01000304,0.317460317,1.312335958
E01000305,0.432900433,2
E01000306,0.46728972,1.831683168
E01000307,1.238938053,3.357753358
E01000308,0.279589935,1.521845852
E01000309,0.539083558,1.720019111
E01000310,0.54884742,3.216911765
E01000311,0.17699115,1.265094882
E01000312,0.135135135,0.669269381
E01000313,0.516795866,1.82894029
E01000314,0.732600733,3.135085293
E01000315,0,0.177514793
E01000316,0.324675325,1.217312894
E01000317,0.293255132,0.493218249
E01000318,0.306278714,1.597444089
E01000319,0,0.601051841
E01000320,0,0.362131402
E01000321,0,0.884495317
E01000322,0,0.923913043
E01000323,0.938086304,3.025210084
E01000324,0,0.602739726
E01000325,0,0.351906158
E01000326,0,0.070224719
E01000327,0.15625,0.25220681
E01000328,0,0
E01000329,0,0.057770075
E01000330,0.124533001,0.489596083
E01000331,0,0.116076611
E01000332,0,0.572155118
E01000333,0.346420323,0.580168776
E01000334,0,0.297796307
E01000335,0.543478261,1.254480287
E01000336,0,0
E01000337,0,0.058038305
E01000338,0.138504155,0.441744892
E01000339,0,0.36900369
E01000340,0,0
E01000341,0.156985871,0.260416667
E01000342,0,0.334896182
E01000343,0.17211704,0.616016427
E01000344,0,0.125156446
E01000345,0,0
E01000346,0,0
E01000347,0.153374233,0.871313673
E01000348,0,0
E01000349,0,0.231615518
E01000350,0,0
E01000351,0,0.124378109
E01000352,0,0
E01000353,0,0.120192308
E01000354,0,0
E01000355,0,0.414651002
E01000356,0.153139357,0.444726811
E01000357,0,0.07293946
E01000358,0.144092219,0.42042042
E01000359,0,0.151630023
E01000360,0.12195122,0.209314495
E01000361,0,0.432365658
E01000362,0,0.146771037
E01000363,0.172413793,0.875547217
E01000364,0,0
E01000365,0,0.113765643
E01000366,0,0.12399256
E01000367,0.12254902,0.303555941
E01000368,0,0
E01000369,0.15600624,0.469759248
E01000370,0,0.625
E01000371,0,0.247218789
E01000372,0,0.058754407
E01000373,0.205338809,0.995732575
E01000374,0,0.06443299
E01000375,0.122249389,0.417052827
E01000376,0.15625,0.482218204
E01000377,0.147710487,0.136054422
E01000379,0,0.117027501
E01000380,0,0
E01000381,0,0.061425061
E01000382,0,0
E01000383,0,0.369913687
E01000384,0,0
E01000385,0,0.09760859
E01000386,0,0.261096606
E01000387,0,0.643086817
E01000388,0.160513644,0.663129973
E01000389,0,0.521436848
E01000390,0,0
E01000391,0.15128593,0.401606426
E01000392,0,0.098911968
E01000393,0.153846154,0.116754232
