MSOA21CD,TotPopChange_2001_17
E02000591,1.7386
E02000592,-13.3971
E02000593,0.9386
E02000594,-0.8652
E02000595,-1.7528
E02000596,5.9689
E02000597,-8.2087
E02000598,18.4926
E02000599,10.5892
E02000600,18.1523
E02000601,59.8519
E02000602,45.2677
E02000603,14.6605
E02000604,13.4944
E02000605,8.6326
E02000606,29.3093
E02000607,24.1888
E02000608,33.8677
E02000609,7.3313
E02000610,7.4408
E02000611,0.31
E02000612,7.4176
E02000613,11.1096
E02000614,10.8323
E02000615,3.6725
E02000616,1.0472
E02000617,14.3513
E02000619,19.8081
E02000620,40.4647
E02000621,34.1085
E02000622,19.4022
E02000623,2.7129
E02000624,14.7078
E02000625,-2.3405
E02000626,5.6568
E02000627,11.022
E02000628,-1.428
E02000629,12.4278
E02000630,24.0718
E02000631,17.6376
E02000632,3.7582
E02000633,20.0548
E02000634,7.1149
E02000635,11.9763
E02000636,16.162
E02000637,11.5044
E02000638,35.7413
E02000639,1.837
E02000640,26.1564
E02000641,12.7665
E02000642,11.1452
E02000643,20.8676
E02000644,18.6167
E02000645,22.6974
E02000646,39.8079
E02000647,26.0881
E02000648,24.9777
E02000649,52.4247
E02000650,10.9799
E02000651,24.0783
E02000652,19.2007
E02000653,42.6536
E02000654,18.557
E02000655,30.8647
E02000657,20.2787
E02000658,7.5137
E02000659,6.2831
E02000660,25.1027
E02000661,14.3802
E02000662,15.6578
E02000663,6.7577
E02000665,24.0193
E02000666,5.2488
E02000667,8.6109
E02000668,24.2246
E02000669,35.299
E02000670,10.8598
E02000671,12.6558
E02000672,36.8802
E02000673,20.3657
E02000674,12.2814
E02000675,14.3883
E02000676,12.5649
E02000677,16.6256
E02000678,11.2005
E02000679,12.7709
E02000680,24.9305
E02000681,14.9363
E02000682,20.3915
E02000683,5.6076
E02000685,13.2857
E02000686,19.527
E02000687,15.5447
E02000689,14.9917
E02000690,-6.6038
E02000691,0.5757
E02000692,-1.7992
E02000693,16.3588
E02000694,16.2345
E02000695,2.6335
E02000696,2.6554
E02000697,8.7531
E02000698,1.2036
E02000699,7.4768
E02000700,4.0369
E02000701,18.8258
E02000702,14.6211
E02000703,1.5469
E02000704,8.6739
E02000705,6.9272
E02000706,22.9205
E02000707,2.8171
E02000708,3.2635
E02000709,-0.2968
E02000710,13.6411
E02000711,14.4806
E02000712,13.0971
E02000713,7.1959
E02000714,30.5783
E02000715,31.9481
E02000716,30.5384
E02000717,38.3172
E02000718,30.0703
E02000719,35.5131
E02000720,18.8209
E02000721,20.5219
E02000722,29.4815
E02000723,25.0896
E02000724,23.294
E02000725,68.1788
E02000727,25.7653
E02000728,1.7901
E02000729,21.7004
E02000730,14.7935
E02000731,38.5411
E02000732,31.9152
E02000733,29.3325
E02000734,26.4913
E02000735,43.9839
E02000736,26.3686
E02000737,32.9403
E02000738,42.6719
E02000739,33.9802
E02000740,20.361
E02000741,48.6833
E02000742,39.9622
E02000743,57.5953
E02000744,55.2328
E02000745,12.6725
E02000746,42.2442
E02000747,54.3101
E02000748,14.9301
E02000749,19.1026
E02000751,8.2684
E02000752,29.4453
E02000753,15.9151
E02000754,7.4068
E02000755,10.4317
E02000756,28.4107
E02000757,26.0427
E02000758,7.0274
E02000759,21.6431
E02000760,26.1071
E02000762,13.3654
E02000763,28.8781
E02000764,15.1448
E02000765,20.9939
E02000767,38.764
E02000768,-1.3089
E02000770,22.9538
E02000772,53.6585
E02000773,46.8736
E02000774,17.9402
E02000776,20.3646
E02000777,6.1859
E02000779,46.2966
E02000781,32.4253
E02000782,30.9591
E02000783,22.375
E02000784,0.3614
E02000785,2.9461
E02000786,13.2528
E02000787,35.8079
E02000788,10.5623
E02000789,7.1561
E02000790,18.0665
E02000791,12.8281
E02000792,8.1256
E02000793,8.7814
E02000794,18.2002
E02000795,8.0414
E02000796,11.5457
E02000797,26.6939
E02000798,11.2679
E02000799,9.4235
E02000800,6.4332
E02000801,16.3668
E02000802,9.4492
E02000803,5.2806
E02000804,9.7933
E02000805,26.6725
E02000806,8.4694
E02000807,28.8152
E02000808,44.684
E02000810,69.3804
E02000812,24.8844
E02000813,43.2222
E02000814,28.8628
E02000815,-16.3743
E02000816,34.4666
E02000817,11.9694
E02000818,-0.3118
E02000819,22.9181
E02000820,34.0167
E02000821,2.7201
E02000822,-16.7131
E02000823,19.8846
E02000824,17.1523
E02000825,21.2168
E02000826,12.5471
E02000827,26.8202
E02000828,8.3164
E02000829,43.5691
E02000830,20.2184
E02000831,28.3271
E02000832,30.7208
E02000833,18.7247
E02000834,21.7482
E02000835,16.5607
E02000836,11.716
E02000837,24.6615
E02000838,20.1648
E02000839,10.8305
E02000840,8.6884
E02000841,17.5558
E02000842,6.8043
E02000843,6.9209
E02000844,11.6736
E02000845,37.611
E02000846,6.8344
E02000847,8.5391
E02000848,7.1571
E02000849,9.3939
E02000850,7.7787
E02000851,32.1622
E02000852,7.6219
E02000853,11.6469
E02000854,8.004
E02000855,10.2852
E02000856,17.7108
E02000857,19.386
E02000858,8.6095
E02000859,6.5699
E02000860,19.8774
E02000861,4.0325
E02000863,10.1028
E02000864,49.2162
E02000865,31.8934
E02000866,30.744
E02000867,117.3107
E02000868,24.0166
E02000869,30.0122
E02000870,20.1552
E02000871,52.5815
E02000872,40.7714
E02000873,68.9058
E02000874,9.7372
E02000875,71.0467
E02000876,25.4354
E02000877,46.1373
E02000878,21.5932
E02000879,42.4849
E02000880,9.735
E02000881,55.7778
E02000882,60.8945
E02000883,40.45
E02000884,73.4906
E02000885,24.2612
E02000886,50.0428
E02000887,55.7074
E02000888,62.4614
E02000889,28.9946
E02000890,23.8005
E02000893,24.3056
E02000894,61.6852
E02000895,8.615
E02000896,17.6042
E02000897,20.91
E02000898,6.2851
E02000899,17.0847
E02000900,14.2433
E02000901,18.5754
E02000902,28.8298
E02000903,16.8743
E02000904,41.2427
E02000905,29.5455
E02000906,20.0939
E02000907,28.0554
E02000908,52.0655
E02000909,22.3943
E02000910,17.0141
E02000911,34.6443
E02000912,20.8387
E02000913,18.6332
E02000914,23.7767
E02000915,20.3808
E02000916,26.5277
E02000917,42.9698
E02000918,27.2572
E02000919,27.7115
E02000920,26.5542
E02000921,20.7525
E02000922,28.2465
E02000923,21.9868
E02000925,15.8569
E02000926,63.7003
E02000927,10.489
E02000928,5.256
E02000929,17.8099
E02000930,32.8317
E02000931,22.8648
E02000932,43.2536
E02000933,11.1055
E02000934,22.7582
E02000935,20.7053
E02000936,15.3212
E02000937,12.7467
E02000938,34.888
E02000939,6.7771
E02000940,34.3312
E02000941,2.9051
E02000942,4.3502
E02000943,19.347
E02000944,11.2683
E02000945,36.3334
E02000946,27.2859
E02000947,9.0505
E02000948,12.3584
E02000949,6.6538
E02000950,5.7551
E02000951,5.3019
E02000952,-1.5985
E02000953,29.6333
E02000954,1.3375
E02000955,3.7985
E02000956,28.5421
E02000957,20.2067
E02000958,11.1785
E02000959,31.7496
E02000960,15.444
E02000961,29.0534
E02000962,11.4088
E02000963,33.9088
E02000964,43.7776
E02000965,9.9341
E02000966,28.7407
E02000967,36.4116
E02000968,26.4163
E02000969,32.581
E02000970,24.6566
E02000971,8.8056
E02000972,31.9741
E02000973,30.3555
E02000974,12.5125
E02000975,19.2575
E02000976,8.6181
E02000977,-2.387
E02000978,0.5645
E02000979,16.4916
E02000980,34.3148
E02000981,16.6956
E02000982,19.0314
E02000983,5.6246
E02000984,1.4521
E02000985,-5.4896
E02000986,13.0195
E02000987,-2.0076
E02000988,11.0362
E02000989,-5.7215
E02000990,9.817
E02000991,-2.5981
E02000992,4.7134
E02000993,28.5928
E02000994,12.2488
E02000995,3.0021
E02000996,12.27
E02000997,5.8172
E02000998,16.0673
E02000999,34.7539
E02001000,5.1162
E02001001,17.3507
E02001002,5.2337
E02001003,3.0941
E02001004,18.5649
E02001005,19.5816
E02001006,13.5748
E02001007,1.3976
E02001008,19.8947
E02001009,18.5574
E02001010,1.0264
E02001011,22.7782
E02001012,6.7768
E02001013,6.7433
E02001014,3.5801
E02001015,14.4434
E02001016,9.1537
E02001017,7.2034
E02001018,-0.5622
E02001019,4.6352
E02001020,-4.6007
E02001021,-1.8812
E02001022,4.233
E02001023,-1.435
E02001024,6.2896
E02001025,5.4699
E02001026,19.0405
E02001027,21.4122
E02001028,-7.5146
E02001029,15.8676
E02001030,-5.2397
E02001031,13.7955
E02001032,-1.9231
E02001033,5.4552
E02001034,10.0627
E02001035,-4.7184
E02001036,22.4924
E02001037,-6.8989
E02001038,2.9673
E02001039,9.6309
E02001040,-3.5113
E02001041,0.5321
E02001042,5.993
E02001043,-1.4472
E02001044,19.4588
