MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02005901,597.6193,41100,26800,32400,29000
E02005902,585.4868,36500,24400,29800,25700
E02005903,752.2487,38100,26700,29400,28900
E02005904,754.4295,49200,31500,37300,34000
E02005905,440.7066,52900,34400,40600,38700
E02005906,731.3448,50900,34600,38700,35200
E02005907,662.0336,46100,31700,35300,31100
E02005908,582.3133,46600,34000,36300,33600
E02005909,539.8276,59400,35900,41900,33800
E02005910,521.1183,51600,29600,35600,35200
E02005911,504.3287,56900,36200,40800,36600
E02005912,528.0391,53800,34500,37800,34400
E02005913,554.4721,52400,33800,40000,34100
E02005914,627.173,44000,28200,34400,29800
E02005915,652.6832,49700,32600,37700,35900
E02005916,560.9891,46900,31300,35000,32500
E02005917,551.5125,57400,38000,41500,38200
E02005918,564.9004,43000,30100,33600,31400
E02005919,586.9653,45200,32100,36600,32600
E02005920,628.63,54200,36500,40000,35400
E02005921,577.1576,60600,36900,42800,39700
E02005922,848.8656,58800,31100,37300,33700
E02005923,776.6101,48100,26300,29800,29300
E02005924,613.9705,51600,27500,33900,32800
E02005925,637.4594,48600,23900,31900,28200
E02005926,641.8093,50600,31400,36500,33900
E02005927,599.8847,60100,32400,38000,34800
E02005928,722.5478,60600,37400,42000,38400
E02005929,625.1541,51700,37400,40800,37900
E02005930,803.0116,61400,37100,43200,40200
E02005931,775.2163,67400,36800,44400,39200
E02005932,723.1437,75300,36200,45200,40500
E02005933,657.2968,62200,30200,38600,34100
E02005934,698.8555,59600,32100,38900,34500
E02005935,690.7946,65700,34800,41100,38100
E02005936,761.5777,67000,38000,45900,39400
E02005937,528.6288,57400,34700,39500,37100
E02005938,542.7377,59600,31800,38600,35100
E02005939,543.0897,60800,36300,40500,38800
E02005940,478.6497,69600,38800,48600,42100
E02005941,385.6351,75800,40500,57500,43300
E02005942,281.2706,86400,47400,64000,51200
E02005943,191.7412,74000,34600,48300,38000
E02005944,415.6103,54300,27800,37600,32400
E02005945,407.4739,74400,38400,49900,41100
E02005946,425.6728,73900,35500,47700,37800
E02005947,110.4492,50300,35700,44800,42700
E02005948,241.9835,71600,40300,47900,44400
E02005949,375.2711,49800,27500,37100,33300
E02005950,189.9937,61400,29500,45400,40200
E02005951,208.0872,68100,35300,47300,40700
E02005953,346.1559,67800,33000,45600,39100
E02005954,436.3682,63500,30400,42100,35000
E02005955,475.8459,56600,26900,37500,31600
E02005956,588.3879,49000,23900,34400,30400
E02005957,637.8113,50100,24200,35900,30100
E02005958,631.1188,56500,35500,39900,37000
E02005959,562.2976,62600,36200,43000,40100
E02005960,593.2138,54100,35800,41700,37900
E02005961,675.9725,58100,37200,42800,39900
E02005962,586.2378,59900,35600,43400,39800
E02005963,563.9,54300,33900,39900,35000
E02005964,698.898,61200,40200,44000,41300
E02005965,633.0041,53900,36900,43500,39700
E02005966,691.2335,76700,36500,46000,41300
