OA21CD,SMEDebt
E00000789,1502.69
E00000790,1670.2
E00000791,1628.51
E00000792,1798.42
E00000793,1611.29
E00000794,2203.4
E00000795,1612.95
E00000796,1317.94
E00000797,1620.87
E00000798,1772.14
E00000799,1699.39
E00000800,1474.93
E00000801,1446.65
E00000802,1366.09
E00000803,1844.92
E00000804,1623.08
E00000805,1308.21
E00000806,1489.36
E00000807,1525.71
E00000808,2291.06
E00000809,1649.72
E00000810,1456.16
E00000811,1745.66
E00000812,3570.71
E00000813,1550.06
E00000814,1708.35
E00000815,1541.1
E00000816,1794.91
E00000817,3123.43
E00000818,1606.55
E00000819,2882.63
E00000820,2774.11
E00000821,4429.71
E00000822,5000.34
E00000823,4787.82
E00000824,4520.81
E00000825,4936.94
E00000826,4542.52
E00000827,4734.59
E00000828,4895.91
E00000829,4651.23
E00000830,3903.58
E00000831,4354.03
E00000832,4265.41
E00000833,5205.48
E00000834,5046.13
E00000835,4430.2
E00000836,4842.06
E00000837,6042.07
E00000838,4539.16
E00000839,4807.21
E00000840,4500.68
E00000841,4614.72
E00000842,2680.06
E00000843,2739.54
E00000844,3925.4
E00000845,3726.55
E00000846,3412.8
E00000847,3988.49
E00000848,3269.77
E00000849,3419.05
E00000850,2977.34
E00000851,3822.29
E00000852,3525.45
E00000853,4038.73
E00000854,3114.33
E00000855,2982.05
E00000856,3362.35
E00000857,3356.14
E00000858,3323.57
E00000859,2834.23
E00000860,3188.44
E00000861,2211.95
E00000863,3005.63
E00000864,5446.38
E00000865,4763.26
E00000866,4100.96
E00000867,5064.44
E00000868,4689.62
E00000869,4009.82
E00000870,3076.75
E00000871,3238.02
E00000872,1479.7
E00000873,4296.74
E00000874,2199.29
E00000875,4065.61
E00000876,4103.93
E00000877,3119.11
E00000878,2271.53
E00000880,1470.06
E00000881,1565.92
E00000882,1548.88
E00000883,1699.11
E00000884,1477.61
E00000885,1849.22
E00000886,1438.13
E00000887,1433.98
E00000888,1698.93
E00000889,1175.07
E00000890,842
E00000891,1468.96
E00000892,1876.58
E00000893,1624.2
E00000894,3589.06
E00000895,1941.5
