LSOA21CD,ViolenceSex_1kPersons_15plus,Robbery_1kPersons_15plus,BikeTheft_1kPersons_15plus,Burglary_1kPersons_15plus,Shoplifting_1kPersons_15plus,TheftPerson_1kPersons_15plus,VehicleCrime_1kPersons_15plus,TheftOffences_1kPersons_15plus,CrimDamageArson_1kPersons_15plus,Drugs_1kPersons_15plus,PossessionWeapons_1kPersons_15plus,PublicOrder_1kPersons_15plus,TotExclASB_1kPersons_15plus,ASB_1kPersons_15plus
E01019567,65.57,0.48,0.24,2.61,0.48,0.48,3.33,7.13,9.74,2.38,0.24,15.44,110,44.67
E01019568,86.4,0,0,3.59,1.49,0,5.08,10.16,12.56,1.49,1.79,7.47,127.95,25.11
E01019569,109.53,2.49,1.99,9.96,77.17,2.74,14.19,106.05,22.9,5.97,2.99,39.08,329.1,111.28
E01019570,28.81,0.3,0.3,5.46,0.61,0,6.37,12.74,7.58,2.73,0.61,6.98,65.82,10.31
E01019571,69.65,2.17,0.27,5.42,18.43,1.08,4.34,29.54,15.99,3.52,2.44,13.55,148.51,26.83
E01019572,76.47,0.62,0.94,6.24,0.31,0.62,3.75,11.86,10.61,3.12,1.87,15.29,132.33,26.22
E01019573,45.44,0.25,0.76,10.92,0,0.25,7.11,19.04,12.44,1.02,1.52,9.65,101.55,17.01
E01019574,71.84,0.6,0.3,16.53,1.2,1.2,12.32,31.56,14.73,6.01,1.5,14.73,157.2,27.35
E01019575,77.56,0.27,0.27,4.78,10.62,1.33,3.45,20.45,14.87,4.25,2.12,13.01,143.43,27.36
E01019576,51.34,0.96,0,3.37,0,0.96,5.78,10.12,9.16,0.72,0.96,9.16,87.01,27.48
E01019577,52.31,0.77,0,5.64,0.26,0.51,4.87,11.28,11.79,3.33,2.05,10.51,98.21,23.59
E01019578,119.97,3.95,0,10,12.89,2.1,6.84,31.83,25.52,10.52,4.21,25.52,247.57,55.51
E01019579,91.69,1.99,0,12.4,3.1,0.66,15.5,31.67,12.85,5.76,2.66,19.27,175.86,41.86
E01019580,59.76,0.98,0.24,4.9,0.49,0.98,6.61,13.23,9.31,3.18,1.71,13.23,110.46,24
E01019581,47.11,0.29,0.29,2.36,5.01,0.29,6.77,14.72,7.36,1.18,1.47,12.07,91.28,17.67
E01019582,35.79,0.53,0,1.6,4.01,0,2.4,8.01,6.14,0,0,6.68,62.5,24.04
E01019583,15.49,0,0.28,4.43,0.28,0.55,6.92,12.45,2.77,0.55,0.28,3.32,40.11,14.38
E01019585,119.17,0.17,0.17,5.57,0.35,0.87,6.26,13.22,13.92,3.83,3.48,29.4,196.76,26.62
E01019586,14.99,0,0.29,2.02,0,0,3.75,6.06,2.02,0.58,0,2.88,29.41,4.04
E01019587,13.23,0.56,0.56,3.38,6.48,0.56,2.25,13.23,6.76,0.28,0,4.79,61.94,9.29
E01019588,8.53,0,0,1.71,0,0,0.57,2.28,1.14,0.28,0,1.71,15.64,2.28
E01019589,12.8,0.29,0,1.45,0,0,1.45,2.91,0.87,0.58,0.29,1.75,21.52,3.2
E01019590,20.71,0,0.21,5.5,4.02,0,1.69,11.41,4.86,0.85,0.42,4.65,45.44,21.35
E01019591,23.19,0.26,0,1.05,0.53,0.26,4.22,6.06,3.69,0.26,0,5.27,42.95,6.32
E01019592,15.45,0.24,0,3.8,0,0,3.09,6.89,2.62,0.48,0.71,4.28,34.24,14.98
E01019593,8.12,0,0,3.18,0,0,0.71,3.88,0.71,0,0,1.06,17.3,1.77
E01019594,48.52,0.45,0,1.8,0,0.67,2.25,4.72,5.39,1.57,0.67,7.86,73.45,9.66
E01019595,39.64,0.78,0.2,6.05,2.34,0.78,3.71,13.08,10.54,0.98,0.59,9.76,81.43,20.11
E01019596,26.06,0,0,1.26,4.2,0.84,0.63,6.94,5.25,1.26,0.63,6.73,52.96,17.02
E01019597,20.8,0,0,2.55,0.39,0,1.57,4.51,2.75,1.77,0.2,3.34,38.45,8.24
E01019598,55.36,1.16,0.93,2.78,18.53,0.69,3.24,26.18,10.42,1.85,1.16,14.36,123.47,20.85
E01019599,23.24,0.28,0.83,4.98,0,0.28,2.49,8.58,6.92,1.38,0.28,5.53,55.05,16.6
E01019600,32.07,0.54,0.54,7.55,19.94,0.27,1.62,29.91,8.08,1.08,0.54,8.08,92.43,14.82
E01019601,15.08,0.25,0,5.44,3.96,0,1.73,11.13,4.45,0.74,0.49,3.46,41.3,8.41
E01019602,12.43,0,0,7.71,3.64,0,3,14.35,3.21,0.86,0.43,2.36,38.13,7.93
E01019603,18.54,0,0,1.37,0.2,0,1.56,3.12,1.17,0.98,0,5.66,32.59,8.2
E01019604,10.64,0,0,3.62,1.06,0,2.98,7.66,2.34,1.28,0.21,5.53,35.12,9.79
E01019605,23.66,0,0,1.08,0,8.39,3.01,12.47,5.16,1.08,1.29,6.24,65.59,7.31
E01019606,13.56,0.48,0.24,7.61,2.86,0.48,3.57,14.75,3.09,0.95,0,5,44.97,8.8
E01019607,15.85,0.21,0,1.24,0.41,0,1.03,2.68,2.68,0.82,0,5.15,32.74,5.97
E01019608,34.91,0.23,0.91,3.42,4.11,0.23,3.42,12.09,9.13,3.88,2.05,12.09,83.05,35.59
E01019609,21.37,0,0.29,1.92,0,0,3.39,5.6,5.01,0.59,0.15,2.06,38.31,8.55
E01019610,24.49,0,0.25,3.28,2.27,0,2.02,7.83,5.05,1.52,0.25,4.8,55.3,9.85
E01019611,15.26,0.24,0.48,1.45,0,0.48,4.36,6.78,5.09,0.24,0.48,4.84,37.06,5.33
E01019612,15.51,0,0,0.71,0,0,9.11,9.82,1.71,1.57,0.43,3.27,48.96,5.27
E01019613,17.21,0.23,0,4.19,0,0.47,3.95,8.61,4.42,0.47,0.23,3.49,41.17,9.07
E01019614,8.07,0.24,0.71,9.49,0,0,13.52,23.72,4.98,1.42,0,4.98,47.92,12.81
E01019615,13.33,0.18,0.18,6.75,3.65,0.18,3.29,14.06,4.56,0.91,0.18,4.75,45.09,10.22
E01019616,13.28,0,0,0.83,0.41,0,1.87,3.11,4.15,0.62,0.21,3.11,28.83,4.77
E01019617,13.45,0,0,1.25,0,0,1,2.24,3.99,0.75,0.25,6.23,29.65,5.98
E01019618,12.25,0,0,2.69,0,0,3.18,5.88,5.39,0.49,0,4.41,35.27,8.33
E01019619,17.96,0,0,3.81,0.27,0,2.18,6.26,2.72,5.99,0.54,7.35,49.25,15.24
E01019620,33.78,0.26,0.52,3.67,0.79,0.79,3.4,9.16,8.38,5.76,0.52,14.14,81.17,38.23
E01019621,19.88,0,0,4.26,0,0,1.7,5.96,2.84,1.14,0.28,4.83,39.75,11.07
E01019622,12.29,0.27,0,4.01,0.53,0.27,2.67,7.48,3.21,0.8,0.8,4.54,31.78,11.22
E01019623,107.96,1.95,0.83,6.68,25.32,3.34,5.01,41.18,17.25,9.18,1.95,31.44,230.38,52.31
E01019624,47.4,1.24,0.93,3.72,33.15,0.93,3.72,42.44,11.77,7.13,1.55,18.59,141.88,42.44
E01019625,81.15,0.26,0.26,1.85,3.44,0.26,3.97,9.78,14.27,4.23,1.85,23.53,145.12,55.25
E01019626,23.32,0.55,0.55,4.66,1.1,0.27,1.1,7.68,7.13,4.12,0.55,8.5,57.06,23.59
E01019627,20.47,0.32,0.32,6.5,1.62,0,2.92,11.37,3.25,1.3,0.32,5.2,46.13,6.17
E01019628,25.21,0,0.25,3.78,0,0,2.02,6.05,3.78,1.26,0.25,6.05,46.65,12.61
E01019629,15.25,0,0,1.79,0,0,1.35,3.14,3.36,0,0.22,3.14,28.94,3.14
E01019630,20.45,0,0.21,1.92,0.21,0.21,0.85,3.41,5.96,1.92,0.21,4.05,41.75,14.27
E01019631,25.3,0,0.22,4.7,0.22,0,1.57,6.72,5.15,0.45,0.45,6.04,49.03,6.72
E01019632,7.92,0,0,2.56,0,0,1.63,4.19,3.03,1.4,0,2.33,23.76,9.08
E01019633,35.05,0.77,0.26,3.07,0.51,0,2.3,6.14,7.16,1.53,1.53,9.47,69.33,8.44
E01019634,22.19,0.5,0.5,3.49,0,0,3.74,7.73,4.99,1.75,1,3.99,47.62,7.98
E01019635,13.45,0,0,3.94,1.31,0,0.33,5.58,4.59,0,0.66,1.31,27.56,3.61
E01019636,36.87,0.25,0,3.46,2.97,0,1.98,8.41,17.57,1.73,0.49,9.16,80.18,19.05
E01019638,24.81,0,0.3,2.99,15.84,0.6,4.48,24.22,5.38,0.3,0.3,8.37,69.06,15.84
E01019639,54.43,0.54,0.54,1.62,4.58,0,3.5,10.24,11.86,1.35,1.08,8.89,94.85,15.09
E01019640,17.42,0,0,2,0,0,3.14,5.14,3.71,2,0.57,5.43,39.13,14.28
E01019641,13.33,0.8,0.53,2.67,0,0.27,2.93,6.4,4.8,1.87,0.53,6.67,39.2,6.67
E01019642,39.23,0,0,2.29,0,0,2.86,5.15,9.74,0,0.29,7.16,67.58,13.75
E01019643,18.72,0.25,0,3.94,5.91,0,1.97,11.83,4.68,0,0,6.65,46.81,8.13
E01019644,138.52,0.28,0.28,7.73,0,0.83,7.45,16.28,29.53,6.9,2.48,25.94,236.75,45.25
E01019645,63.32,1.19,0.48,4.06,5.02,0.72,3.11,13.38,11.47,5.26,0.48,16.01,120.19,27
E01019646,68.97,0.88,0.29,3.83,0.59,1.18,7.07,12.97,20.04,7.96,2.95,15.92,137.34,49.51
E01019647,73.02,0.99,7.14,7.54,26.79,1.19,8.13,50.79,15.48,4.17,2.78,23.21,185.32,50
E01019648,24.8,0,0.55,0.82,1.36,0,3.54,6.27,4.36,0.82,0.55,6,46.88,12.54
E01019649,29.2,0.23,0.23,2.1,0.23,0.47,4.2,7.24,5.61,2.1,0.93,2.34,54.43,10.28
E01019650,76.2,0.99,0.74,3.23,18.12,0.99,6.7,29.78,20.35,2.48,1.49,22.83,164.81,52.37
E01019651,30.33,0.28,0,0.85,0.57,0,6.24,7.65,5.39,0.28,0.57,6.52,55.27,20.41
E01019652,22.68,0,0,0.51,34.15,0,1.27,35.93,4.59,0.51,0.51,4.84,75.94,4.33
E01019653,22.24,0.27,0.27,1.63,0,0,3.25,5.15,2.98,0.81,0,5.15,40.68,9.22
E01019654,34.61,0.25,0.25,2.04,1.27,0.25,2.8,6.62,11.45,0.76,0.51,13.99,74.3,33.59
E01019655,33.79,0.26,0.51,2.3,0.26,0,7.17,10.24,6.4,1.28,0.26,5.63,62.21,19.46
E01019656,15.83,0.32,0.63,6.65,0,0,6.33,13.61,9.5,1.27,0.63,5.38,56.35,20.58
E01019657,65.36,0.42,1.48,5.06,13.7,0.21,5.48,25.93,12.44,3.8,1.27,12.44,149.69,25.93
E01019658,57.43,0.64,1.48,6.78,0.21,0,7.84,16.32,11.66,2.12,0.64,11.87,108.92,26.49
E01019659,32.82,0.17,0.17,3.93,0,0.34,3.42,7.86,4.44,1.2,0.68,4.27,55.9,10.77
E01019660,59.15,1.44,0.82,5.34,1.03,1.03,8.01,16.23,11.3,3.9,1.44,14.58,114.6,38
E01019661,178.67,4.86,1.43,15.44,59.18,2.57,10.29,88.91,41.17,14.29,4.86,44.03,395.37,101.2
E01019662,113.21,2.62,2.36,11.53,126.57,1.31,12.58,154.35,30.14,6.81,3.67,25.16,355.87,62.63
E01019663,96.67,1.35,0.81,8.12,0.81,0.81,7.58,18.14,26.81,6.77,4.87,28.16,198.21,64.99
E01019664,65.66,0.34,0.67,3.02,0,1.01,2.68,7.37,14.74,2.01,0,10.05,108.21,19.43
E01019665,47.03,0.58,0.88,3.21,1.75,0,3.8,9.64,14.31,3.51,0.29,13.15,97.87,22.2
E01019666,59.08,0.86,0,2.85,0,0,4.85,7.71,7.99,2.85,2.28,7.13,91.89,20.83
E01019667,39.34,0,0,2.85,3.62,0.26,4.66,11.39,5.95,2.07,0.52,11.9,77.38,27.95
E01019668,70.8,0.57,0.28,3.12,0.28,0.57,4.81,9.06,15.86,1.13,1.42,14.44,121.78,35.68
E01019669,43.77,0.26,0,2.33,22.27,0.78,2.59,27.97,6.48,0.78,1.55,12.43,108.78,19.43
E01019670,11.92,0.22,0.22,3.53,0.88,0,1.32,5.96,3.09,0.22,0.66,3.75,29.58,7.06
E01019671,14.74,0,0.63,4.84,2.32,0,5.9,13.69,5.9,1.26,0.21,6.11,49.48,10.95
E01019672,135.65,4.24,1.56,9.37,34.81,2.45,7.59,55.78,31.01,8.92,2.45,39.27,296.3,93.93
E01019673,41.78,0.6,0.3,3.88,1.79,0.3,4.18,10.44,7.46,0.9,0.6,7.46,77.29,50.43
E01019674,31.89,0,0,3.43,0,0,2.74,6.17,10.29,2.74,1.37,4.8,63.44,18.52
E01019675,66.04,2.61,0.52,4.44,1.83,0,8.61,15.4,10.44,6.53,5.22,12.01,127.64,29.5
E01019676,47.5,0,0.27,3.57,0.55,0.27,4.67,9.34,10.71,1.65,1.37,10.43,87.59,13.18
E01019677,23.93,0,0.83,1.95,11.41,0.28,3.06,17.53,5.01,1.39,0.56,5.29,59.27,12.8
E01019678,16.13,0.23,0,2.76,0.69,0.23,1.61,5.3,3.46,0.92,0.23,2.76,32.02,5.3
E01019679,48.85,0,1.23,6.17,70.07,0.49,5.43,83.4,7.16,3.7,0.99,16.78,179.13,29.85
E01019680,22.51,0,0.64,3.22,0.43,0,3.86,8.15,4.07,0.21,0.21,3.64,44.59,6
E01019681,27.41,0,0,5.38,0.51,0,6.92,12.81,6.15,2.82,0.26,8.46,67.64,16.65
E01019682,142.05,3.77,8.48,18.85,134.75,3.06,10.84,175.97,29.92,9.42,3.77,65.02,459.84,127.68
E01019683,26.74,0,0,1.55,0,0.93,5.91,8.4,4.66,0.31,1.55,6.53,60.32,8.08
E01019684,23.61,0,0.24,1.67,0.48,0,3.81,6.2,3.1,0.48,0.48,3.34,42.44,3.1
E01019685,23.42,0,0.27,7,9.96,0.27,4.85,22.35,5.65,0.54,0.81,5.92,64.08,13.46
E01019686,18.14,0,0,2.63,0.29,0.29,2.63,5.85,2.93,0,0,4.98,35.7,5.85
E01019687,28.75,0,0.28,2.79,0.56,0,3.63,7.26,7.26,0.28,0.28,3.07,52.48,10.05
E01019688,81.34,0.29,0.59,10.02,13.85,0.29,8.55,33.3,15.92,2.95,0.88,16.21,168.29,29.77
E01019689,49.37,0.27,0.27,1.64,0,0.27,1.91,4.09,5.73,2.18,0.82,9.82,77.47,21.55
E01019690,54.79,0.66,0.33,7.22,0.33,0.66,5.58,14.11,10.17,5.25,0.98,8.53,102.69,26.25
E01019691,39.3,0.5,0.25,1.74,2.24,0.75,2.99,7.96,8.46,1.24,0.75,7.71,73.13,11.94
E01019692,85.11,0.79,0.26,3.43,0,0,4.48,8.17,13.18,0.79,1.84,12.38,131.49,31.88
E01019693,65.51,0.21,0.64,5.37,34.79,0.43,6.01,47.25,13.96,3.22,0.43,16.11,159.36,27.06
E01019694,30.18,0.67,0,3.02,0.34,0.67,6.04,10.06,5.37,1.68,0.67,13.41,67.07,20.12
E01019695,24.8,0.56,0.28,3.9,0,0,2.79,6.97,1.95,0.28,0.28,2.79,41.25,6.13
E01019696,20.08,1.07,0.27,2.41,4.55,0,3.21,10.44,3.75,0.54,0,7.76,50.07,12.58
E01019697,34.57,0.28,0.28,2.81,0.56,0.28,7.03,10.96,5.34,0.56,0.84,5.9,65.49,12.93
E01019698,20.27,0.27,0.55,3.56,15.06,0.55,4.38,24.1,4.11,0.27,0.55,6.3,61.63,12.33
E01019699,68.09,0.82,0.82,3.29,0.27,0.55,4.39,9.34,14.28,4.39,1.1,11.81,119.99,18.4
E01019700,34.38,0.36,0.72,5.58,16.02,0,6.84,29.16,7.92,1.26,0.54,8.28,91.43,22.68
E01019701,22.54,0,0.35,1.77,0.18,0.18,1.77,4.26,4.97,0.53,0.18,6.03,43.49,11.54
E01019702,9.13,0,0,1.74,0,0,2.61,4.35,2.39,0.65,0.43,0.87,20.21,5
E01019703,15.75,0,0,2,0,0.25,4.25,6.5,4,0.5,0.5,4.25,34.01,13.75
E01019704,13.24,0,0,0.26,0,0,2.65,2.91,2.12,0.53,0,5.3,26.21,11.91
E01019705,52.28,1.34,1.79,2.23,60.55,0.22,4.02,68.81,6.7,2.46,0.89,17.2,162.2,17.43
E01019706,13.54,0,0,0.97,0,0,1.29,2.26,0.97,0.32,0,5.8,28.05,12.25
E01019707,10.93,0,0,0.56,0,0.28,2.8,3.64,1.4,0,0,1.96,19.34,3.08
E01019708,13.18,0.67,3.8,3.13,0.89,0.22,1.34,9.38,1.79,0.89,0.45,2.01,30.38,5.36
E01019709,69.79,2.23,1.91,2.55,0.32,1.27,2.87,8.92,7.65,2.87,0.96,13.07,112.81,24.86
E01019710,77.13,0.67,1.34,12.07,0.45,0.67,6.71,21.24,18.11,5.81,3.35,15.65,154.04,25.26
E01019711,21.67,0,0.3,3.86,1.19,0,2.37,7.72,9.8,0.89,0,7.12,51.05,7.72
E01019712,17.63,0.27,0,5.7,0.27,0,3.53,9.49,2.98,1.36,0,4.61,39.06,7.32
E01019713,31.62,0.23,0.23,2.06,0,0.23,0.46,2.98,6.41,0.46,0.46,5.5,50.17,8.25
E01019714,22.35,0.16,0.16,4.88,0,0,4.88,9.92,5.98,0.94,0.63,7.24,52.25,12.43
E01019715,83.55,2.07,0.59,6.2,21.55,0.59,5.9,34.84,19.19,5.31,2.07,20.37,180.4,46.94
E01019716,31.27,0.31,0.31,3.75,1.25,0.31,2.19,7.82,5.63,2.5,0,9.07,76.61,9.38
E01019717,144.52,3,1.33,17.65,75.59,6.99,5.66,107.23,33.63,11.32,2,64.6,401.93,113.22
E01019718,27.46,0,0.37,3.66,2.93,0.18,4.58,11.72,7.69,3.29,0.73,6.59,64.07,15.19
E01019719,35.27,0.4,0.2,3.79,4.58,0.4,2.39,11.36,5.98,1.79,0.4,9.56,79.9,9.96
E01019720,25.68,0.55,0.27,4.64,1.91,0,3.28,10.11,6.56,0.82,0.27,8.74,57.1,17.21
E01019721,18.97,0,0,3.95,0,0,0.79,4.74,2.9,1.32,0,3.95,33.2,13.44
E01019722,37.33,0.43,0.43,5.64,4.77,0,6.08,16.93,7.81,3.04,1.74,8.25,81.81,14.76
E01019723,45.41,0.42,0,5.02,0.42,0.63,3.35,9.42,10.88,1.26,0.21,10.67,86.21,23.85
E01019724,56.72,0.35,0.7,5.95,20.66,0,1.75,29.06,13.31,2.8,1.05,12.96,140.41,25.21
E01019725,27.06,0.54,0,1.35,1.35,0,1.62,4.33,4.6,1.08,0.27,5.68,51.14,8.93
E01019726,57.13,0,0,5.71,0,0.29,2.57,8.57,7.43,1.14,0.29,11.71,97.12,24.28
E01019727,21.72,0,0.37,3.1,0,0,3.65,7.12,2.19,0.55,0.18,8.21,43.08,12.23
E01019728,58.08,0,0,5.55,0.74,0,3.7,9.99,15.91,1.48,0.74,12.95,108.4,27.38
E01019729,90.78,0.7,0,6.31,2.45,0.7,4.56,14.02,22.08,6.66,0.35,14.72,161.93,36.1
E01019730,51,0.85,0.85,6.4,0,0.43,3.84,11.52,16.86,2.13,1.07,12.59,104.57,26.25
E01019731,21.94,0.97,0.97,5.49,4.52,0.32,2.58,13.88,7.42,0,0.32,10.65,71.31,12.26
E01019732,28.88,1.1,0.28,3.3,0.28,0.28,5.23,9.35,8.53,1.1,0.28,4.95,57.21,17.33
E01019733,42.25,0.55,0.27,1.37,0,0,1.92,3.57,6.58,1.92,0.55,9.33,69.14,15.91
E01019734,19.37,0,0,6,0.19,0.19,2.52,8.91,5.62,0.97,0.39,5.81,46.48,12.78
E01019735,15.85,0.27,0.54,15.04,0.54,0,8.86,24.98,6.72,0.81,0,4.57,60.7,11.01
E01019736,27.03,0.72,0.36,9.73,0.36,0.72,16.58,27.75,15.5,2.16,1.08,10.09,102.34,55.5
E01019737,21.31,0,1,12.65,0.33,0,7.66,21.65,6.66,0.67,1,6.66,63.6,12.32
E01019738,43.97,0,0.55,4.12,12.92,0.55,2.75,20.88,9.07,1.37,1.65,15.94,107.45,31.33
E01019739,90.76,2.05,0.41,4.92,46.3,2.25,4.71,58.59,25.81,7.99,2.46,35.65,247.9,70.89
E01019740,21.84,0,0.34,7.06,1.34,0.34,4.03,13.1,3.7,0.34,0.67,5.71,50.74,25.87
E01019741,28.18,0,0,3.09,0,0,3.78,6.87,6.87,0.34,0.34,8.25,56.7,12.37
E01019742,21.57,0,0.76,8.32,0,0,4.54,13.62,6.43,0.76,0,4.92,54.11,10.59
E01019743,54.96,0.28,0,3.04,0,0,1.93,4.97,10.22,1.93,0.28,9.39,88.93,12.7
E01019744,40.03,0.27,0.54,3.81,1.09,0,1.36,6.81,5.99,1.63,0.82,9.53,67.27,17.43
E01019745,37.6,0.36,0,6.87,10.12,0.36,2.53,19.88,6.15,0.72,0.72,12.65,83.51,22.78
E01019746,23.61,0.51,0,4.57,11.42,0.51,2.79,19.29,8.38,0.25,0.25,11.68,66.26,22.34
E01019747,9.6,0,0,7.28,0.33,0,0.99,8.61,4.63,0.33,0.33,3.31,29.13,13.57
E01019748,39.45,0.26,0.26,5.82,1.06,0.53,3.44,11.12,8.74,1.32,0.79,14.56,81.55,19.86
E01019749,9.65,0,0,4.32,0,0,3.33,7.65,3.66,0,0,2,25.28,7.32
E01019750,35.31,0,0.6,4.79,0,0.3,2.39,8.08,8.98,1.8,0.9,11.37,73.01,26.33
E01019751,19.03,0.18,0.18,2.85,0,0.18,3.2,6.4,2.85,0.36,0,3.74,36.29,12.1
E01019752,44.24,0.61,0,7.68,3.38,0,6.14,17.2,7.68,1.23,0.61,11.98,87.25,25.81
E01019753,34.29,0.87,0,9.01,17.44,0.29,5.81,32.55,11.04,2.03,0,12.5,103.17,24.7
E01019754,18.41,0,0,5.46,0,0,3.24,8.7,6.88,1.21,0,7.08,48.54,13.75
E01019755,16.31,0,0,4.89,0,0,3.67,8.56,5.91,1.43,0.2,5.5,42.61,10.19
E01019756,15.65,0,0,2.37,0,0,1.66,4.03,1.9,0.71,0.47,3.08,28.45,4.27
E01019757,28.8,0.3,0.3,3.6,1.2,0,1.8,6.9,6.9,1.8,0.6,9.6,59.11,9
E01019758,20.22,0,0,3.37,0,0,2.33,5.7,3.63,0.78,0.26,1.81,36.03,4.41
E01019759,62.85,0.56,0.84,6.45,3.93,0.28,4.21,15.71,12.35,1.68,0.28,10.1,113.92,36.2
E01019760,23.93,0.58,0,2.63,0.88,0.29,3.21,7.01,2.92,0.88,0,3.79,40.57,4.96
E01019761,119.43,0.28,0.28,2.84,3.97,1.13,5.39,13.62,19.29,4.26,1.99,20.99,198.87,38.58
E01019762,34.08,0,0.22,3.74,0.66,0,1.98,6.6,7.92,1.1,0.66,4.62,57.61,10.55
E01019763,36.34,0.36,0.18,3.06,0,0.18,6.3,9.71,13.13,0.9,0.36,7.2,73.75,20.69
E01019764,21.39,0,0.25,3.2,0,0.25,1.97,5.65,3.2,0.49,0,3.93,38.84,7.13
E01019765,30.16,0.22,0.66,5.68,12.24,0.44,3.93,22.95,9.18,1.53,0.44,13.55,85.25,16.61
E01019766,14.87,0,0,3.78,0,0.27,1.35,5.41,2.97,0.54,0.27,3.51,30.28,7.03
E01019767,25.31,0.25,0.5,5.01,0.25,0.25,2.26,8.27,6.02,0.5,0.25,5.01,48.12,14.79
E01019768,54.99,1.13,0,3.75,0.19,0.75,3.57,8.26,12.76,3,1.5,10.89,102.48,29.47
E01019769,25.37,0,0,2.73,0,0.39,2.15,5.27,4.88,0.98,0.59,7.22,50.35,8.98
E01019770,18.29,0.2,0,7.67,0.2,0.2,7.08,15.14,5.11,0.59,0.79,8.65,55.65,12
E01019771,21.56,0.73,0.18,2.38,0,0.55,4.02,7.13,4.2,1.83,0.37,8.95,52.27,14.62
E01019772,21.1,0,0,4.32,5.34,0,2.29,11.95,5.09,0.51,0.51,9.15,58.99,14.24
E01019774,12.03,0,0,2.28,0,0.21,2.49,4.98,2.7,1.66,1.04,4.36,30.91,11.82
E01019775,64.29,0.18,0.18,5.14,6.73,0.53,4.61,17.18,10.27,1.24,0.89,12.4,119.02,25.68
E01019776,28.75,0.84,0,4.75,0,0,3.35,8.1,10.33,2.79,1.4,8.93,65.61,30.15
E01019777,61.71,1.07,0.18,3.39,0.18,0.36,1.07,5.17,12.48,1.07,0.71,12.48,100.23,16.76
E01019778,11.41,0.46,0.23,2.51,0.46,0.46,2.97,6.62,2.51,0.23,0.23,2.97,26.24,11.64
E01019779,7,0.24,0,3.14,1.45,0,2.17,6.76,1.69,0,0.24,3.38,22.22,2.66
E01019780,34.48,0,0.29,2.36,2.95,0,5.6,11.2,10.02,0.88,2.06,7.37,74.27,13.26
E01019781,12.91,0.27,0,4.84,13.72,0.27,3.23,22.06,4.3,1.88,0.81,5.11,51.12,8.88
E01019782,48.74,0.58,0.29,9.86,3.77,0,7.83,21.76,16.83,2.03,1.16,12.18,117.78,17.7
E01019783,10.38,0,0,6.16,0,0,1.3,7.46,0.65,0.32,0.65,1.62,22.37,3.57
E01019784,7.71,0,0.32,2.25,0,0,1.93,4.5,2.57,0.32,0,1.93,19.93,3.54
E01019785,13.14,0.32,0.32,7.05,0,0,2.24,9.62,2.88,0,0,0.96,30.77,4.17
E01019786,29.53,0,0.26,4.37,27.48,0.26,7.96,40.32,17.21,2.31,1.28,12.84,115.31,27.48
E01019787,21.64,0,0.23,4.73,0.45,0,4.28,9.69,3.83,0.68,0,3.38,44.17,9.92
E01019788,5.55,0,0,7.63,0,0,2.31,9.95,0.69,0.23,0,1.39,20.36,3.93
E01019790,23.05,0.21,0,4.19,0,0,3.77,7.96,6.91,0.84,0,4.82,46.51,13.41
E01019791,35.57,0.2,0,6.5,4.67,1.02,8.33,20.53,8.94,2.24,1.42,9.15,86.99,16.26
E01019792,41.18,0.78,0,1.96,2.16,0.39,3.14,7.65,12.16,3.73,0.78,7.65,80,17.45
E01019793,8.59,0,0.28,5.54,0,0,1.11,6.93,6.1,0.28,0.28,3.88,27.71,13.85
E01019794,10.49,0.57,0,7.94,0,0,1.42,9.35,5.67,0,0,3.4,30.33,7.94
E01019795,13.89,0.18,0.54,3.25,1.62,0,2.89,8.3,4.15,0,0,3.61,33.91,13.35
E01019796,94.83,0,0,4.31,2.51,0.36,2.16,9.34,19.76,1.44,1.08,24.43,160.92,37.72
E01019797,50.02,0.22,0,4.93,0.22,0,2.47,7.63,8.3,1.35,0.67,10.32,88.83,25.35
E01019798,37.62,0,0,5.48,0.25,0,2.49,8.22,3.99,1.25,0.25,8.47,66.02,17.69
E01019799,100.74,0.51,0.17,8.89,0.51,0.68,9.24,19.5,22.23,3.25,1.2,19.84,189.5,34.38
E01019800,47.11,0.22,0.22,3.78,2,0,6,12,14.22,1.11,0.22,10.67,102.22,19.33
E01019801,21.72,0.69,0,7.58,0,0.34,6.89,14.82,4.14,0.69,0.69,7.93,54.81,8.62
E01019802,23.24,0.57,0,3.97,13.04,0.28,2.83,20.12,7.09,1.13,1.13,7.94,64.63,14.74
E01019803,34.57,0.32,0,10.15,0.32,0.32,8.25,19.03,9.83,2.54,0.63,9.2,83.1,17.13
E01019804,11.74,0,0.31,5.25,0,0,2.78,8.34,3.4,0,0.93,4.02,29.66,10.5
E01019805,19.59,0,0,2.97,0,0,2.97,5.94,4.75,0.59,0.3,5.94,40.37,12.47
E01019806,21.33,0.53,0.8,4.8,0,0,1.87,7.47,5.33,1.07,0.8,4,43.47,9.07
E01019807,46.07,0.59,0,3.23,0,0,2.35,5.58,8.22,2.93,0.29,9.68,78.64,16.73
E01019808,86.36,0,0.26,2.58,4.64,0,4.12,11.6,18.56,3.35,0.52,17.01,148.23,36.09
E01019809,25.29,0,0,2.46,0.35,0.35,3.86,7.02,6.67,1.4,0.7,3.86,50.58,9.13
E01019810,63.28,0.26,0.52,1.3,0,0.26,2.6,4.69,10.16,1.04,1.3,16.67,103.91,38.02
